alpha,frame_index_alpha,frame_index_global,used_iterations,frame_bit_errors,is_codeword,ml_invoked,ml_calls_in_frame,error_vn_indices,error_vn_last5_energies,global_max_last5_energies,global_max_vn_indices_last5,ml_proposed_vn_indices,ml_proposed_error_overlap
0.020000,1126,1126,0,7,0,1,100,"39;615;668;713;727;872;1118","","","","362;39;640;738;872;1129;212;496;674;996;1196;94;447;803;1060;1143;485;668;346;787;1044;1181;68;403;756;1032;1141;213;302;78;1012;1233","39;872;668"
0.020000,1452,1452,0,14,0,1,100,"50;174;258;264;314;317;740;843;971;1086;1091;1131;1132;1268","","","","50;314;591;813;946;1292;971;373;597;749;883;1086;846;217;1281;582","50;314;971;1086"
0.020000,1456,1456,0,7,0,1,198,"46;229;553;858;942;1283;1288","","","","671;529;359;163;1013;1121;209;248;493;993;1193;162;305;434;1015;1236;1288;46;310;587;863;942;3;224;589;853;924;119;230;558;837;943;267;578;842;967;1277;369;647;745;879;1082","1288;46;942"
0.020000,1126,1126,0,7,0,1,100,"39;615;668;713;727;872;1118","","","","362;39;640;738;872;1129;212;496;674;996;1196;94;447;803;1060;1143;485;668;346;787;1044;1181;68;403;756;1032;1141;213;302;78;1012;1233","39;872;668"
0.020000,1452,1452,0,14,0,1,100,"50;174;258;264;314;317;740;843;971;1086;1091;1131;1132;1268","","","","50;314;591;813;946;1292;971;373;597;749;883;1086;846;217;1281;582","50;314;971;1086"
0.020000,1456,1456,0,7,0,1,198,"46;229;553;858;942;1283;1288","","","","671;529;359;163;1013;1121;209;248;493;993;1193;162;305;434;1015;1236;1288;46;310;587;863;942;3;224;589;853;924;119;230;558;837;943;267;578;842;967;1277;369;647;745;879;1082","1288;46;942"
0.020000,1925,1925,0,11,0,1,100,"29;39;223;595;597;640;718;835;846;906;1119","","","","144;255;968;607;728;1259;322;615;734;872;1085;873;583;862;1237;414;128;645;398;712;911;1221;306;599;718;910;1123;239;567;846;952;1243;29;1119;1260;250;293;570;561;825;950;925;352;630;916;1271;906;597;917;1227;404;19;342;620;134;1109;595;716;132;915;1225;124;302;714;402;48;371;747;881;1084","718;846;29;1119;906;597;595"
0.020000,3200,3200,0,13,0,1,100,"75;91;319;341;375;386;403;426;885;975;1039;1140;1178","","","","106;1155;1178;761;1072;374;403;498;790;1077;459;387;469;794;1070;1179;91;359;1140;800;1057;444;388;537;775;1062;1163;426;454;779;1055;1164;375;885;1209;687;1073;1156;171;509;107;1009;460;52;599;751;762;1088","1178;403;91;1140;426;375;885"
0.020000,3494,3494,0,7,0,1,100,"366;407;621;623;721;742;744","","","","744;878;278;625;882;1095;45;368;646;154;1081;160;430;623;889;1199;366;43;644;742;876;1133;162;500;678;1000;1200;98;451;807;1064;1147;407;721;600;137;866;1230;72;435;760;1036;1145;56;502;794;1027;1182","744;623;366;742;407;721"
0.020000,3644,3644,0,6,0,1,104,"57;183;392;503;699;1203","","","","57;325;464;766;1077;1160;392;474;799;1075;1184;503;408;795;1028;1183;513;175;691;1013;1213;2;603;755;889;1092;639;706;905;1215;122;95;487;779;1066;1167","57;392;503"
0.020000,4491,4491,0,5,0,1,100,"235;292;321;364;1245","","","","364;1198;449;805;1062;1145;214;498;676;998;96;41;642;740;874;1131;235;658;516;204;1000;1108;14;546;810;935;1245;124;563;842;948;1293;292;1002;569;924;1270;203;475;28;845;1223;114;639;704;896;1109","364;235;1245;292"
0.020000,4752,4752,0,4,0,1,100,"590;821;927;1291","","","","412;605;1150;507;871;1235;77;440;765;1041;142;61;726;799;1032;1187;327;59;466;768;1079;1162;177;515;693;1015;1215;4;703;891;1094",""
0.020000,6901,6901,0,5,0,1,100,"3;189;507;973;1093","","","","619;156;272;18;885;1195;148;426;738;876;1089;740;341;717;905;1108;3;1093;604;702;890;326;224;589;853;924;1288;321;544;820;953;1245","3;1093"
0.020000,7695,7695,0,8,0,1,100,"38;80;302;412;485;871;1032;1044","","","","38;302;871;855;934;1280;361;639;737;579;1128;259;570;834;959;1269;1044;80;424;485;787;1181;346;415;443;768;1153;73;78;519;757;1145","38;302;871;1044;80;485"
0.020000,8472,8472,0,3,0,1,100,"145;631;729","","","","51;750;374;1293;947;315;218;583;847;918;1282;592;598;814;884;1087;9;610;332;708;896;1099;230;541;859;930;1294;273;550;826;959;1251",""
