result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_escaped,frames_ml_no_escape,frames_ml_invoked_decoded_clean,ml_escape_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.020000,0.020000,0.003000,0.001000,73854,73754,50527,23327,9248,14079,23227,39.645047,4653,42707,21492
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.019000,0.020000,0.003000,0.001000,101652,101552,74756,26896,10378,16518,26796,38.585663,5466,46374,21517
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.018000,0.020000,0.003000,0.001000,139887,139787,110446,29441,11023,18418,29341,37.440984,4299,47991,22735
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.017000,0.020000,0.003000,0.001000,217300,217200,181130,36170,13309,22861,36070,36.795687,6024,56592,25044
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.016000,0.020000,0.003000,0.001000,329163,329063,287426,41737,14823,26914,41637,35.515250,7373,62941,26855
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.015000,0.020000,0.003000,0.001000,409005,408905,370924,38081,13161,24920,37981,34.560542,6053,57754,24591
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.014000,0.020000,0.003000,0.001000,663918,663818,620130,43788,14664,29124,43688,33.488627,7392,64420,26202
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.013000,0.020000,0.003000,0.001000,1000000,999918,954573,45427,14704,30723,45345,32.368415,6047,62702,25371
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.012000,0.020000,0.003000,0.001000,1000000,999940,970109,29891,9551,20340,29831,31.952762,4704,42194,16915
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.011000,0.020000,0.003000,0.001000,1000000,999962,981019,18981,5756,13225,18943,30.325062,3082,26626,10642
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.010000,0.020000,0.003000,0.001000,1000000,999980,988696,11304,3311,7993,11284,29.290517,2479,16181,6159
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.009000,0.020000,0.003000,0.001000,1000000,999994,993824,6176,1756,4420,6170,28.432642,963,8040,2933
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.008000,0.020000,0.003000,0.001000,1000000,999995,996722,3278,973,2305,3273,29.682733,475,4442,1764
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.007000,0.020000,0.003000,0.001000,1000000,999996,998434,1566,408,1158,1562,26.053640,233,2231,899
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.006000,0.020000,0.003000,0.001000,1000000,999999,999307,693,183,510,692,26.406926,114,1019,429
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.005000,0.020000,0.003000,0.001000,1000000,999999,999756,244,71,173,243,29.098361,38,386,188
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,500,100,0.004000,0.020000,0.003000,0.001000,1000000,999999,999923,77,20,57,76,25.974026,19,218,128
