result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_escaped,frames_ml_no_escape,frames_ml_invoked_decoded_clean,ml_escape_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.020000,0.020000,0.003000,0.001000,1000000,999978,682438,317562,125997,191565,317540,39.676347,52541,460196,193443
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.019000,0.020000,0.003000,0.001000,1000000,999986,738897,261103,100920,160183,261089,38.651413,40183,365056,149709
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.018000,0.020000,0.003000,0.001000,1000000,999989,789033,210967,79265,131702,210956,37.572227,30363,283979,112880
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.017000,0.020000,0.003000,0.001000,1000000,999992,833742,166258,60953,105305,166250,36.661694,23170,218214,84559
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.016000,0.020000,0.003000,0.001000,1000000,999995,874027,125973,45061,80912,125968,35.770363,17191,163217,62325
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.015000,0.020000,0.003000,0.001000,1000000,999999,906737,93263,32109,61154,93262,34.428444,12202,117324,42839
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.014000,0.020000,0.003000,0.001000,1000000,999996,933421,66579,22420,44159,66575,33.674282,9099,83024,29787
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.013000,0.020000,0.003000,0.001000,1000000,999996,954230,45770,14985,30785,45766,32.739786,6250,56804,20150
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.012000,0.020000,0.003000,0.001000,1000000,1000000,969828,30172,9554,20618,30172,31.665120,4080,36424,12240
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.011000,0.020000,0.003000,0.001000,1000000,1000000,980870,19130,5857,13273,19130,30.616832,2723,23356,7857
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.010000,0.020000,0.003000,0.001000,1000000,999999,988720,11280,3379,7901,11279,29.955674,1696,13775,4555
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.009000,0.020000,0.003000,0.001000,1000000,1000000,993714,6286,1767,4519,6286,28.110086,891,7450,2266
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.008000,0.020000,0.003000,0.001000,1000000,1000000,996585,3415,937,2478,3415,27.437775,561,4074,1232
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.007000,0.020000,0.003000,0.001000,1000000,1000000,998445,1555,442,1113,1555,28.424437,233,1818,559
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.006000,0.020000,0.003000,0.001000,1000000,1000000,999323,677,174,503,677,25.701625,122,808,229
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.005000,0.020000,0.003000,0.001000,1000000,1000000,999718,282,70,212,282,24.822695,57,341,95
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,1000000,500,100,0.004000,0.020000,0.003000,0.001000,1000000,1000000,999910,90,22,68,90,24.444444,11,112,35
