alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,4115,2914,1201,1101,100,70.814095,26.755772,2.430134,3,12,16,5.042688,22
0.027500,5991,4842,1149,1049,100,80.821232,17.509598,1.669170,3,12,16,4.790276,23
0.025000,15268,13559,1709,1609,100,88.806654,10.538381,0.654965,3,12,15,4.452455,23
0.022500,26022,24391,1631,1531,100,93.732227,5.883483,0.384290,3,11,15,4.615937,23
0.020000,63523,61721,1802,1702,100,97.163232,2.679344,0.157423,3,11,14,4.449471,23
0.017500,139225,137433,1792,1692,100,98.712875,1.215299,0.071826,3,11,15,4.570331,23
0.015000,329661,328112,1549,1449,100,99.530123,0.439542,0.030334,3,11,15,4.616977,23
0.012500,1207727,1205860,1867,1767,100,99.845412,0.146308,0.008280,4,12,15,5.277872,23
0.010000,3645235,3643654,1581,1481,100,99.956628,0.040628,0.002743,4,12,16,5.302498,23
0.007500,10000000,9999039,961,915,46,99.990390,0.009150,0.000460,4,12,15,5.433880,23
0.005000,10000000,9999874,126,116,10,99.998740,0.001160,0.000100,4,11,15,5.250000,22
