alpha,frames_tested,frames_feedback_success,gen,count,pct_among_feedback_success,cumulative_pct,is_overflow
0.030000,3649,965,1,340,35.233161,35.233161,0
0.030000,3649,965,2,128,13.264249,48.497409,0
0.030000,3649,965,3,95,9.844560,58.341969,0
0.030000,3649,965,4,78,8.082902,66.424870,0
0.030000,3649,965,5,63,6.528497,72.953368,0
0.030000,3649,965,6,56,5.803109,78.756477,0
0.030000,3649,965,7,40,4.145078,82.901554,0
0.030000,3649,965,8,29,3.005181,85.906736,0
0.030000,3649,965,9,21,2.176166,88.082902,0
0.030000,3649,965,10,22,2.279793,90.362694,0
0.030000,3649,965,11,20,2.072539,92.435233,0
0.030000,3649,965,12,14,1.450777,93.886010,0
0.030000,3649,965,13,9,0.932642,94.818653,0
0.030000,3649,965,14,11,1.139896,95.958549,0
0.030000,3649,965,15,12,1.243523,97.202073,0
0.030000,3649,965,16,11,1.139896,98.341969,0
0.030000,3649,965,17,10,1.036269,99.378238,0
0.030000,3649,965,18,6,0.621762,100.000000,0
0.027500,5179,903,1,319,35.326689,35.326689,0
0.027500,5179,903,2,142,15.725360,51.052049,0
0.027500,5179,903,3,82,9.080842,60.132890,0
0.027500,5179,903,4,90,9.966777,70.099668,0
0.027500,5179,903,5,61,6.755260,76.854928,0
0.027500,5179,903,6,43,4.761905,81.616833,0
0.027500,5179,903,7,45,4.983389,86.600221,0
0.027500,5179,903,8,26,2.879291,89.479513,0
0.027500,5179,903,9,21,2.325581,91.805094,0
0.027500,5179,903,10,17,1.882614,93.687708,0
0.027500,5179,903,11,14,1.550388,95.238095,0
0.027500,5179,903,12,11,1.218162,96.456257,0
0.027500,5179,903,13,5,0.553710,97.009967,0
0.027500,5179,903,14,10,1.107420,98.117386,0
0.027500,5179,903,15,2,0.221484,98.338870,0
0.027500,5179,903,16,5,0.553710,98.892580,0
0.027500,5179,903,17,3,0.332226,99.224806,0
0.027500,5179,903,18,7,0.775194,100.000000,0
0.025000,10898,1171,1,426,36.379163,36.379163,0
0.025000,10898,1171,2,176,15.029889,51.409052,0
0.025000,10898,1171,3,133,11.357814,62.766866,0
0.025000,10898,1171,4,73,6.233988,69.000854,0
0.025000,10898,1171,5,75,6.404782,75.405636,0
0.025000,10898,1171,6,50,4.269855,79.675491,0
0.025000,10898,1171,7,42,3.586678,83.262169,0
0.025000,10898,1171,8,42,3.586678,86.848847,0
0.025000,10898,1171,9,27,2.305722,89.154569,0
0.025000,10898,1171,10,15,1.280956,90.435525,0
0.025000,10898,1171,11,22,1.878736,92.314261,0
0.025000,10898,1171,12,21,1.793339,94.107600,0
0.025000,10898,1171,13,13,1.110162,95.217763,0
0.025000,10898,1171,14,23,1.964133,97.181896,0
0.025000,10898,1171,15,10,0.853971,98.035867,0
0.025000,10898,1171,16,9,0.768574,98.804441,0
0.025000,10898,1171,17,4,0.341588,99.146029,0
0.025000,10898,1171,18,10,0.853971,100.000000,0
0.022500,22971,1244,1,475,38.183280,38.183280,0
0.022500,22971,1244,2,176,14.147910,52.331190,0
0.022500,22971,1244,3,125,10.048232,62.379421,0
0.022500,22971,1244,4,112,9.003215,71.382637,0
0.022500,22971,1244,5,78,6.270096,77.652733,0
0.022500,22971,1244,6,65,5.225080,82.877814,0
0.022500,22971,1244,7,45,3.617363,86.495177,0
0.022500,22971,1244,8,37,2.974277,89.469453,0
0.022500,22971,1244,9,32,2.572347,92.041801,0
0.022500,22971,1244,10,21,1.688103,93.729904,0
0.022500,22971,1244,11,14,1.125402,94.855305,0
0.022500,22971,1244,12,14,1.125402,95.980707,0
0.022500,22971,1244,13,4,0.321543,96.302251,0
0.022500,22971,1244,14,10,0.803859,97.106109,0
0.022500,22971,1244,15,8,0.643087,97.749196,0
0.022500,22971,1244,16,10,0.803859,98.553055,0
0.022500,22971,1244,17,10,0.803859,99.356913,0
0.022500,22971,1244,18,8,0.643087,100.000000,0
0.020000,49594,1357,1,503,37.067060,37.067060,0
0.020000,49594,1357,2,205,15.106853,52.173913,0
