alpha,frames_tested,frames_feedback_success,gen,count,pct_among_feedback_success,cumulative_pct,is_overflow
0.030000,4903,1315,1,412,31.330798,31.330798,0
0.030000,4903,1315,2,180,13.688213,45.019011,0
0.030000,4903,1315,3,157,11.939163,56.958175,0
0.030000,4903,1315,4,123,9.353612,66.311787,0
0.030000,4903,1315,5,80,6.083650,72.395437,0
0.030000,4903,1315,6,78,5.931559,78.326996,0
0.030000,4903,1315,7,48,3.650190,81.977186,0
0.030000,4903,1315,8,58,4.410646,86.387833,0
0.030000,4903,1315,9,36,2.737643,89.125475,0
0.030000,4903,1315,10,28,2.129278,91.254753,0
0.030000,4903,1315,11,18,1.368821,92.623574,0
0.030000,4903,1315,12,20,1.520913,94.144487,0
0.030000,4903,1315,13,14,1.064639,95.209125,0
0.030000,4903,1315,14,16,1.216730,96.425856,0
0.030000,4903,1315,15,12,0.912548,97.338403,0
0.030000,4903,1315,16,11,0.836502,98.174905,0
0.030000,4903,1315,17,14,1.064639,99.239544,0
0.030000,4903,1315,18,10,0.760456,100.000000,0
0.027500,6877,1261,1,468,37.113402,37.113402,0
0.027500,6877,1261,2,189,14.988105,52.101507,0
0.027500,6877,1261,3,115,9.119746,61.221253,0
0.027500,6877,1261,4,110,8.723236,69.944489,0
0.027500,6877,1261,5,69,5.471848,75.416336,0
0.027500,6877,1261,6,62,4.916733,80.333069,0
0.027500,6877,1261,7,55,4.361618,84.694687,0
0.027500,6877,1261,8,35,2.775575,87.470262,0
0.027500,6877,1261,9,28,2.220460,89.690722,0
0.027500,6877,1261,10,27,2.141158,91.831879,0
0.027500,6877,1261,11,22,1.744647,93.576527,0
0.027500,6877,1261,12,18,1.427439,95.003965,0
0.027500,6877,1261,13,15,1.189532,96.193497,0
0.027500,6877,1261,14,17,1.348136,97.541634,0
0.027500,6877,1261,15,11,0.872324,98.413957,0
0.027500,6877,1261,16,6,0.475813,98.889770,0
0.027500,6877,1261,17,6,0.475813,99.365583,0
0.027500,6877,1261,18,8,0.634417,100.000000,0
0.025000,13854,1521,1,549,36.094675,36.094675,0
0.025000,13854,1521,2,235,15.450362,51.545036,0
0.025000,13854,1521,3,150,9.861933,61.406969,0
0.025000,13854,1521,4,120,7.889546,69.296515,0
0.025000,13854,1521,5,108,7.100592,76.397107,0
0.025000,13854,1521,6,68,4.470743,80.867850,0
0.025000,13854,1521,7,62,4.076266,84.944116,0
0.025000,13854,1521,8,43,2.827087,87.771203,0
0.025000,13854,1521,9,34,2.235371,90.006575,0
0.025000,13854,1521,10,30,1.972387,91.978961,0
0.025000,13854,1521,11,23,1.512163,93.491124,0
0.025000,13854,1521,12,24,1.577909,95.069034,0
0.025000,13854,1521,13,24,1.577909,96.646943,0
0.025000,13854,1521,14,17,1.117686,97.764629,0
0.025000,13854,1521,15,11,0.723208,98.487837,0
0.025000,13854,1521,16,8,0.525970,99.013807,0
0.025000,13854,1521,17,13,0.854701,99.868508,0
0.025000,13854,1521,18,2,0.131492,100.000000,0
0.022500,31181,1804,1,677,37.527716,37.527716,0
0.022500,31181,1804,2,292,16.186253,53.713969,0
0.022500,31181,1804,3,170,9.423503,63.137472,0
0.022500,31181,1804,4,152,8.425721,71.563193,0
0.022500,31181,1804,5,123,6.818182,78.381375,0
0.022500,31181,1804,6,85,4.711752,83.093126,0
0.022500,31181,1804,7,57,3.159645,86.252772,0
0.022500,31181,1804,8,50,2.771619,89.024390,0
0.022500,31181,1804,9,35,1.940133,90.964523,0
0.022500,31181,1804,10,33,1.829268,92.793792,0
0.022500,31181,1804,11,16,0.886918,93.680710,0
0.022500,31181,1804,12,25,1.385809,95.066519,0
0.022500,31181,1804,13,18,0.997783,96.064302,0
0.022500,31181,1804,14,24,1.330377,97.394678,0
0.022500,31181,1804,15,17,0.942350,98.337029,0
0.022500,31181,1804,16,14,0.776053,99.113082,0
0.022500,31181,1804,17,7,0.388027,99.501109,0
0.022500,31181,1804,18,9,0.498891,100.000000,0
0.020000,66021,1884,1,675,35.828025,35.828025,0
0.020000,66021,1884,2,301,15.976645,51.804671,0
0.020000,66021,1884,3,213,11.305732,63.110403,0
