alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,4356,3086,1270,1170,100,70.844812,26.859504,2.295684,2,9,11,3.763248,15
0.027500,6496,5206,1290,1190,100,80.141626,18.318966,1.539409,2,8,10,3.434454,15
0.025000,16520,14618,1902,1802,100,88.486683,10.907990,0.605327,2,8,10,3.482242,15
0.022500,28283,26611,1672,1572,100,94.088322,5.558109,0.353569,2,8,11,3.365776,15
0.020000,57381,55697,1684,1584,100,97.065231,2.760496,0.174274,2,8,10,3.380682,15
0.017500,130355,128729,1626,1526,100,98.752637,1.170649,0.076714,2,8,10,3.266710,15
0.015000,364800,363090,1710,1610,100,99.531250,0.441338,0.027412,2,8,11,3.465839,15
0.012500,1097374,1095652,1722,1622,100,99.843080,0.147807,0.009113,2,8,11,3.670777,15
0.010000,4234154,4232423,1731,1631,100,99.959118,0.038520,0.002362,3,9,11,3.850399,15
0.007500,10000000,9999125,875,831,44,99.991250,0.008310,0.000440,3,7,9,3.465704,15
0.005000,10000000,9999870,130,124,6,99.998700,0.001240,0.000060,2,8,10,3.580645,15
