alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,4463,3178,1285,1185,100,71.207708,26.551647,2.240645,3,12,15,4.796624,18
0.027500,6604,5326,1278,1178,100,80.648092,17.837674,1.514234,2,10,13,4.106961,18
0.025000,11747,10434,1313,1213,100,88.822678,10.326041,0.851281,2,10,13,4.042045,18
0.022500,21027,19785,1242,1142,100,94.093309,5.431112,0.475579,2,10,12,3.982487,18
0.020000,46948,45581,1367,1267,100,97.088268,2.698731,0.213002,2,9,12,3.768745,18
0.017500,111634,110246,1388,1288,100,98.756651,1.153770,0.089578,2,10,13,4.006211,18
0.015000,283516,282195,1321,1221,100,99.534065,0.430664,0.035271,3,10,13,4.327600,18
0.012500,915431,913996,1435,1335,100,99.843243,0.145833,0.010924,3,9,12,4.005243,18
0.010000,2895651,2894391,1260,1160,100,99.956486,0.040060,0.003453,3,10,14,4.604310,18
0.007500,10000000,9999036,964,866,98,99.990360,0.008660,0.000980,3,10,12,4.368360,18
0.005000,10000000,9999884,116,107,9,99.998840,0.001070,0.000090,3,10,12,4.028037,15
