alpha,frames_tested,frames_feedback_success,gen,count,pct_among_feedback_success,cumulative_pct,is_overflow
0.030000,4463,1185,1,356,30.042194,30.042194,0
0.030000,4463,1185,2,167,14.092827,44.135021,0
0.030000,4463,1185,3,104,8.776371,52.911392,0
0.030000,4463,1185,4,89,7.510549,60.421941,0
0.030000,4463,1185,5,79,6.666667,67.088608,0
0.030000,4463,1185,6,65,5.485232,72.573840,0
0.030000,4463,1185,7,63,5.316456,77.890295,0
0.030000,4463,1185,8,41,3.459916,81.350211,0
0.030000,4463,1185,9,39,3.291139,84.641350,0
0.030000,4463,1185,10,36,3.037975,87.679325,0
0.030000,4463,1185,11,23,1.940928,89.620253,0
0.030000,4463,1185,12,26,2.194093,91.814346,0
0.030000,4463,1185,13,10,0.843882,92.658228,0
0.030000,4463,1185,14,22,1.856540,94.514768,0
0.030000,4463,1185,15,22,1.856540,96.371308,0
0.030000,4463,1185,16,18,1.518987,97.890295,0
0.030000,4463,1185,17,10,0.843882,98.734177,0
0.030000,4463,1185,18,15,1.265823,100.000000,0
0.027500,6604,1178,1,401,34.040747,34.040747,0
0.027500,6604,1178,2,188,15.959253,50.000000,0
0.027500,6604,1178,3,117,9.932088,59.932088,0
0.027500,6604,1178,4,86,7.300509,67.232598,0
0.027500,6604,1178,5,82,6.960951,74.193548,0
0.027500,6604,1178,6,58,4.923599,79.117148,0
0.027500,6604,1178,7,47,3.989813,83.106961,0
0.027500,6604,1178,8,32,2.716469,85.823430,0
0.027500,6604,1178,9,32,2.716469,88.539898,0
0.027500,6604,1178,10,32,2.716469,91.256367,0
0.027500,6604,1178,11,14,1.188455,92.444822,0
0.027500,6604,1178,12,24,2.037351,94.482173,0
0.027500,6604,1178,13,13,1.103565,95.585739,0
0.027500,6604,1178,14,15,1.273345,96.859083,0
0.027500,6604,1178,15,15,1.273345,98.132428,0
0.027500,6604,1178,16,10,0.848896,98.981324,0
0.027500,6604,1178,17,7,0.594228,99.575552,0
0.027500,6604,1178,18,5,0.424448,100.000000,0
0.025000,11747,1213,1,449,37.015664,37.015664,0
0.025000,11747,1213,2,165,13.602638,50.618302,0
0.025000,11747,1213,3,128,10.552350,61.170651,0
0.025000,11747,1213,4,82,6.760099,67.930750,0
0.025000,11747,1213,5,73,6.018137,73.948887,0
0.025000,11747,1213,6,58,4.781533,78.730420,0
0.025000,11747,1213,7,48,3.957131,82.687552,0
0.025000,11747,1213,8,35,2.885408,85.572960,0
0.025000,11747,1213,9,48,3.957131,89.530091,0
0.025000,11747,1213,10,30,2.473207,92.003298,0
0.025000,11747,1213,11,16,1.319044,93.322341,0
0.025000,11747,1213,12,15,1.236603,94.558945,0
0.025000,11747,1213,13,14,1.154163,95.713108,0
0.025000,11747,1213,14,15,1.236603,96.949711,0
0.025000,11747,1213,15,11,0.906843,97.856554,0
0.025000,11747,1213,16,9,0.741962,98.598516,0
0.025000,11747,1213,17,12,0.989283,99.587799,0
0.025000,11747,1213,18,5,0.412201,100.000000,0
0.022500,21027,1142,1,410,35.901926,35.901926,0
0.022500,21027,1142,2,173,15.148862,51.050788,0
0.022500,21027,1142,3,112,9.807356,60.858144,0
0.022500,21027,1142,4,84,7.355517,68.213660,0
0.022500,21027,1142,5,78,6.830123,75.043783,0
0.022500,21027,1142,6,61,5.341506,80.385289,0
0.022500,21027,1142,7,42,3.677758,84.063047,0
0.022500,21027,1142,8,27,2.364273,86.427320,0
0.022500,21027,1142,9,36,3.152364,89.579685,0
0.022500,21027,1142,10,20,1.751313,91.330998,0
0.022500,21027,1142,11,21,1.838879,93.169877,0
0.022500,21027,1142,12,22,1.926445,95.096322,0
0.022500,21027,1142,13,14,1.225919,96.322242,0
0.022500,21027,1142,14,10,0.875657,97.197898,0
0.022500,21027,1142,15,12,1.050788,98.248687,0
0.022500,21027,1142,16,11,0.963222,99.211909,0
0.022500,21027,1142,17,5,0.437828,99.649737,0
0.022500,21027,1142,18,4,0.350263,100.000000,0
0.020000,46948,1267,1,449,35.438043,35.438043,0
0.020000,46948,1267,2,219,17.284925,52.722968,0
0.020000,46948,1267,3,137,10.812944,63.535912,0
0.020000,46948,1267,4,95,7.498027,71.033938,0
0.020000,46948,1267,5,90,7.103394,78.137332,0
0.020000,46948,1267,6,62,4.893449,83.030781,0
0.020000,46948,1267,7,52,4.104183,87.134964,0
0.020000,46948,1267,8,27,2.131018,89.265983,0
0.020000,46948,1267,9,20,1.578532,90.844515,0
0.020000,46948,1267,10,21,1.657459,92.501973,0
0.020000,46948,1267,11,22,1.736385,94.238358,0
0.020000,46948,1267,12,12,0.947119,95.185478,0
0.020000,46948,1267,13,15,1.183899,96.369376,0
0.020000,46948,1267,14,11,0.868193,97.237569,0
0.020000,46948,1267,15,12,0.947119,98.184688,0
0.020000,46948,1267,16,6,0.473560,98.658248,0
0.020000,46948,1267,17,12,0.947119,99.605367,0
0.020000,46948,1267,18,5,0.394633,100.000000,0
0.017500,111634,1288,1,432,33.540373,33.540373,0
0.017500,111634,1288,2,212,16.459627,50.000000,0
0.017500,111634,1288,3,150,11.645963,61.645963,0
0.017500,111634,1288,4,100,7.763975,69.409938,0
0.017500,111634,1288,5,79,6.133540,75.543478,0
0.017500,111634,1288,6,53,4.114907,79.658385,0
0.017500,111634,1288,7,51,3.959627,83.618012,0
0.017500,111634,1288,8,44,3.416149,87.034161,0
0.017500,111634,1288,9,33,2.562112,89.596273,0
0.017500,111634,1288,10,24,1.863354,91.459627,0
0.017500,111634,1288,11,26,2.018634,93.478261,0
0.017500,111634,1288,12,19,1.475155,94.953416,0
0.017500,111634,1288,13,17,1.319876,96.273292,0
0.017500,111634,1288,14,12,0.931677,97.204969,0
0.017500,111634,1288,15,9,0.698758,97.903727,0
0.017500,111634,1288,16,11,0.854037,98.757764,0
0.017500,111634,1288,17,7,0.543478,99.301242,0
0.017500,111634,1288,18,9,0.698758,100.000000,0
