alpha,frames_tested,frames_feedback_success,gen,count,pct_among_feedback_success,cumulative_pct,is_overflow
0.030000,4965,1374,1,321,23.362445,23.362445,0
0.030000,4965,1374,2,171,12.445415,35.807860,0
0.030000,4965,1374,3,113,8.224163,44.032023,0
0.030000,4965,1374,4,91,6.622999,50.655022,0
0.030000,4965,1374,5,77,5.604076,56.259098,0
0.030000,4965,1374,6,72,5.240175,61.499272,0
0.030000,4965,1374,7,78,5.676856,67.176128,0
0.030000,4965,1374,8,45,3.275109,70.451237,0
0.030000,4965,1374,9,56,4.075691,74.526929,0
0.030000,4965,1374,10,42,3.056769,77.583697,0
0.030000,4965,1374,11,37,2.692868,80.276565,0
0.030000,4965,1374,12,30,2.183406,82.459971,0
0.030000,4965,1374,13,27,1.965066,84.425036,0
0.030000,4965,1374,14,19,1.382824,85.807860,0
0.030000,4965,1374,15,25,1.819505,87.627365,0
0.030000,4965,1374,16,25,1.819505,89.446870,0
0.030000,4965,1374,17,19,1.382824,90.829694,0
0.030000,4965,1374,18,15,1.091703,91.921397,0
0.030000,4965,1374,19,16,1.164483,93.085881,0
0.030000,4965,1374,20,14,1.018923,94.104803,0
0.030000,4965,1374,21,14,1.018923,95.123726,0
0.030000,4965,1374,22,5,0.363901,95.487627,0
0.030000,4965,1374,23,11,0.800582,96.288210,0
0.030000,4965,1374,24,6,0.436681,96.724891,0
0.030000,4965,1374,25,10,0.727802,97.452693,0
0.030000,4965,1374,26,7,0.509461,97.962154,0
0.030000,4965,1374,27,7,0.509461,98.471616,0
0.030000,4965,1374,28,8,0.582242,99.053857,0
0.030000,4965,1374,29,4,0.291121,99.344978,0
0.030000,4965,1374,30,9,0.655022,100.000000,0
0.027500,6407,1134,1,314,27.689594,27.689594,0
0.027500,6407,1134,2,128,11.287478,38.977072,0
0.027500,6407,1134,3,96,8.465608,47.442681,0
0.027500,6407,1134,4,80,7.054674,54.497354,0
0.027500,6407,1134,5,77,6.790123,61.287478,0
0.027500,6407,1134,6,56,4.938272,66.225750,0
0.027500,6407,1134,7,52,4.585538,70.811287,0
0.027500,6407,1134,8,41,3.615520,74.426808,0
0.027500,6407,1134,9,31,2.733686,77.160494,0
0.027500,6407,1134,10,35,3.086420,80.246914,0
0.027500,6407,1134,11,22,1.940035,82.186949,0
0.027500,6407,1134,12,19,1.675485,83.862434,0
0.027500,6407,1134,13,21,1.851852,85.714286,0
0.027500,6407,1134,14,18,1.587302,87.301587,0
0.027500,6407,1134,15,15,1.322751,88.624339,0
0.027500,6407,1134,16,13,1.146384,89.770723,0
0.027500,6407,1134,17,20,1.763668,91.534392,0
0.027500,6407,1134,18,14,1.234568,92.768959,0
0.027500,6407,1134,19,9,0.793651,93.562610,0
0.027500,6407,1134,20,9,0.793651,94.356261,0
0.027500,6407,1134,21,6,0.529101,94.885362,0
0.027500,6407,1134,22,8,0.705467,95.590829,0
0.027500,6407,1134,23,11,0.970018,96.560847,0
0.027500,6407,1134,24,5,0.440917,97.001764,0
0.027500,6407,1134,25,3,0.264550,97.266314,0
0.027500,6407,1134,26,4,0.352734,97.619048,0
0.027500,6407,1134,27,6,0.529101,98.148148,0
0.027500,6407,1134,28,10,0.881834,99.029982,0
0.027500,6407,1134,29,6,0.529101,99.559083,0
0.027500,6407,1134,30,5,0.440917,100.000000,0
0.025000,14573,1521,1,417,27.416174,27.416174,0
0.025000,14573,1521,2,202,13.280736,40.696910,0
0.025000,14573,1521,3,115,7.560815,48.257725,0
0.025000,14573,1521,4,108,7.100592,55.358317,0
0.025000,14573,1521,5,89,5.851414,61.209730,0
0.025000,14573,1521,6,79,5.193951,66.403682,0
0.025000,14573,1521,7,56,3.681788,70.085470,0
0.025000,14573,1521,8,61,4.010519,74.095989,0
0.025000,14573,1521,9,56,3.681788,77.777778,0
0.025000,14573,1521,10,35,2.301118,80.078895,0
0.025000,14573,1521,11,38,2.498356,82.577252,0
0.025000,14573,1521,12,26,1.709402,84.286654,0
0.025000,14573,1521,13,26,1.709402,85.996055,0
0.025000,14573,1521,14,34,2.235371,88.231427,0
0.025000,14573,1521,15,19,1.249178,89.480605,0
0.025000,14573,1521,16,13,0.854701,90.335306,0
0.025000,14573,1521,17,12,0.788955,91.124260,0
0.025000,14573,1521,18,23,1.512163,92.636423,0
0.025000,14573,1521,19,19,1.249178,93.885602,0
0.025000,14573,1521,20,16,1.051940,94.937541,0
0.025000,14573,1521,21,16,1.051940,95.989481,0
0.025000,14573,1521,22,12,0.788955,96.778435,0
0.025000,14573,1521,23,10,0.657462,97.435897,0
0.025000,14573,1521,24,7,0.460224,97.896121,0
0.025000,14573,1521,25,8,0.525970,98.422091,0
0.025000,14573,1521,26,8,0.525970,98.948060,0
0.025000,14573,1521,27,4,0.262985,99.211045,0
0.025000,14573,1521,28,3,0.197239,99.408284,0
0.025000,14573,1521,29,3,0.197239,99.605523,0
0.025000,14573,1521,30,6,0.394477,100.000000,0
0.022500,29562,1754,1,517,29.475485,29.475485,0
0.022500,29562,1754,2,212,12.086659,41.562144,0
0.022500,29562,1754,3,151,8.608894,50.171038,0
0.022500,29562,1754,4,114,6.499430,56.670468,0
0.022500,29562,1754,5,103,5.872292,62.542759,0
0.022500,29562,1754,6,82,4.675029,67.217788,0
0.022500,29562,1754,7,81,4.618016,71.835804,0
0.022500,29562,1754,8,74,4.218928,76.054732,0
0.022500,29562,1754,9,53,3.021665,79.076397,0
0.022500,29562,1754,10,40,2.280502,81.356899,0
0.022500,29562,1754,11,52,2.964652,84.321551,0
0.022500,29562,1754,12,39,2.223489,86.545040,0
0.022500,29562,1754,13,36,2.052452,88.597491,0
0.022500,29562,1754,14,18,1.026226,89.623717,0
0.022500,29562,1754,15,18,1.026226,90.649943,0
0.022500,29562,1754,16,20,1.140251,91.790194,0
0.022500,29562,1754,17,14,0.798176,92.588369,0
0.022500,29562,1754,18,12,0.684151,93.272520,0
0.022500,29562,1754,19,16,0.912201,94.184721,0
0.022500,29562,1754,20,19,1.083238,95.267959,0
0.022500,29562,1754,21,10,0.570125,95.838084,0
0.022500,29562,1754,22,17,0.969213,96.807298,0
0.022500,29562,1754,23,10,0.570125,97.377423,0
0.022500,29562,1754,24,9,0.513113,97.890536,0
0.022500,29562,1754,25,8,0.456100,98.346636,0
0.022500,29562,1754,26,3,0.171038,98.517674,0
0.022500,29562,1754,27,7,0.399088,98.916762,0
0.022500,29562,1754,28,10,0.570125,99.486887,0
0.022500,29562,1754,29,5,0.285063,99.771950,0
0.022500,29562,1754,30,4,0.228050,100.000000,0
0.020000,66331,1830,1,505,27.595628,27.595628,0
0.020000,66331,1830,2,230,12.568306,40.163934,0
0.020000,66331,1830,3,127,6.939891,47.103825,0
0.020000,66331,1830,4,118,6.448087,53.551913,0
0.020000,66331,1830,5,112,6.120219,59.672131,0
0.020000,66331,1830,6,104,5.683060,65.355191,0
0.020000,66331,1830,7,91,4.972678,70.327869,0
0.020000,66331,1830,8,86,4.699454,75.027322,0
0.020000,66331,1830,9,68,3.715847,78.743169,0
0.020000,66331,1830,10,45,2.459016,81.202186,0
0.020000,66331,1830,11,45,2.459016,83.661202,0
0.020000,66331,1830,12,32,1.748634,85.409836,0
0.020000,66331,1830,13,33,1.803279,87.213115,0
0.020000,66331,1830,14,29,1.584699,88.797814,0
0.020000,66331,1830,15,23,1.256831,90.054645,0
0.020000,66331,1830,16,22,1.202186,91.256831,0
0.020000,66331,1830,17,11,0.601093,91.857923,0
0.020000,66331,1830,18,20,1.092896,92.950820,0
0.020000,66331,1830,19,20,1.092896,94.043716,0
0.020000,66331,1830,20,11,0.601093,94.644809,0
0.020000,66331,1830,21,14,0.765027,95.409836,0
0.020000,66331,1830,22,14,0.765027,96.174863,0
