trigger,alpha,tested,baseline_clean,stuck_frames,recovered_after_ml,not_recovered_after_ml,baseline_clean_rate_pct,stuck_rate_pct,ml_recovery_given_stuck_pct,ml_failure_given_stuck_pct,ml_contribution_to_total_clean_pct
3it,0.0125,3679134,3675804,3330,3230,100,99.9095,0.0905,96.997,3.003,0.0878
3it,0.015,1399888,1396535,3353,3253,100,99.7605,0.2395,97.0176,2.9824,0.2324
3it,0.0175,538513,535597,2916,2816,100,99.4585,0.5415,96.5706,3.4294,0.523
3it,0.02,248419,245588,2831,2731,100,98.8604,1.1396,96.4677,3.5323,1.0998
3it,0.0225,123705,121152,2553,2453,100,97.9362,2.0638,96.083,3.917,1.9845
3it,0.025,58529,56444,2085,1985,100,96.4377,3.5623,95.2038,4.7962,3.3973
3it,0.0275,33481,31586,1895,1795,100,94.3401,5.6599,94.723,5.277,5.3773
3it,0.03,16452,14977,1475,1375,100,91.0345,8.9655,93.2203,6.7797,8.4088
3it,0.0325,10795,9408,1387,1287,100,87.1515,12.8485,92.7902,7.2098,12.0337
3it,0.035,5649,4619,1030,930,100,81.7667,18.2333,90.2913,9.7087,16.7598
3it,0.0375,3333,2480,853,753,100,74.4074,25.5926,88.2767,11.7233,23.2911
3it,0.04,1825,1237,588,488,100,67.7808,32.2192,82.9932,17.0068,28.2899
3it,0.0425,1375,845,530,430,100,61.4545,38.5455,81.1321,18.8679,33.7255
3it,0.045,774,408,366,266,100,52.7132,47.2868,72.6776,27.3224,39.4659
3it,0.0475,562,249,313,213,100,44.306,55.694,68.0511,31.9489,46.1039
3it,0.05,442,153,289,189,100,34.6154,65.3846,65.3979,34.6021,55.2632
3it,0.0525,289,95,194,94,100,32.872,67.128,48.4536,51.5464,49.7354
3it,0.055,221,48,173,73,100,21.7195,78.2805,42.1965,57.8035,60.3306
3it,0.0575,190,41,149,49,100,21.5789,78.4211,32.8859,67.1141,54.4444
3it,0.06,170,23,147,47,100,13.5294,86.4706,31.9728,68.0272,67.1429
3it,0.0625,131,7,124,24,100,5.3435,94.6565,19.3548,80.6452,77.4194
3it,0.065,121,5,116,16,100,4.1322,95.8678,13.7931,86.2069,76.1905
3it,0.0675,111,2,109,9,100,1.8018,98.1982,8.2569,91.7431,81.8182
3it,0.07,110,2,108,8,100,1.8182,98.1818,7.4074,92.5926,80.0
