alpha,frame_index_alpha,frame_index_global,used_iterations,frame_bit_errors,is_codeword,ml_invoked,ml_calls_in_frame,error_vn_indices,error_vn_last5_energies,global_max_last5_energies,global_max_vn_indices_last5,ml_proposed_vn_indices,ml_proposed_error_overlap
0.020000,1126,1126,0,7,0,1,10,"485;668;713;727;872;1118;1191","","","","362;39;640;738;872;1129;212;496;674;996;1196;94;447;803;1060;1143;485;668;346;787;1044;1181;68;403;756;1032;1141;213;302;78;1012;1233","872;485;668"
0.020000,1285,1285,0,6,0,1,10,"218;546;812;839;918;1247","","","","43;307;1285;644;939;584;264;575;839;964;1274;366;860;742;876;1133;245;945;526;668;1010;1118;24;556;820;214;1255;134;573;852;958;1249;397;784;711;910;1220;62;479;804;1026;1135;100;492;127;1071;1172;121;232;560;1290;918;22;1264;286;563","839;918"
0.020000,1452,1452,0,13,0,1,10,"50;174;258;264;317;740;843;971;1086;1091;1131;1132;1268","","","","50;314;591;813;946;1292;971;373;597;749;883;1086;846;217;1281;582","50;971;1086"
0.020000,1456,1456,0,7,0,1,18,"46;229;553;858;942;1283;1288","","","","671;529;359;163;1013;1121;209;248;493;993;1193;162;305;434;1015;1236;1288;46;310;587;863;942;3;224;589;853;924;119;230;558;837;943;267;578;842;967;1277;369;647;745;879;1082","1288;46;942"
0.020000,1925,1925,0,12,0,1,10,"39;128;255;595;597;640;718;830;846;906;963;1281","","","","144;255;968;607;728;1259;322;615;734;872;1085;873;583;862;1237;414;128;645;398;712;911;1221;306;599;718;910;1123;239;567;846;952;1243;29;1119;1260;250;293;570;561;825;950;925;352;630;916;1271;906;597;917;1227;404;19;342;620;134;1109;595;716;132;915;1225;124;302;714;402;48;371;747;881;1084","255;128;718;846;906;597;595"
0.020000,1930,1930,0,11,0,1,10,"40;271;296;513;572;641;643;708;875;957;1113","","","","513;1038;691;175;1013;1213;67;418;805;325;1139;201;232;655;997;1105;36;300;577;853;932;1278;957;359;637;735;869;1126;832;257;1267;568;643;710;296;1113;708;875;118;396;126;900;909;42;365;741;1219;1132","513;957;643;296;1113;708;875"
0.020000,2032,2032,0,7,0,1,10,"46;141;310;541;604;859;1082","","","","46;310;587;863;942;1288;267;1082;842;967;1277;369;647;745;879;578","46;310;1082"
0.020000,2692,2692,0,5,0,1,10,"74;158;342;530;620","","","","158;886;621;742;887;1197;282;629;748;428;1099;269;543;822;928;1273;74;409;437;762;1038;1147;425;520;758;1045;1146;342;481;783;1040;1177;530;620;192;654;976;1230;19;718;906;1109","158;74;342;530;620"
0.020000,3200,3200,0,13,0,1,10,"75;91;319;341;375;386;403;426;885;975;1039;1140;1178","","","","106;1155;1178;761;1072;374;403;498;790;1077;459;387;469;794;1070;1179;91;359;1140;800;1057;444;388;537;775;1062;1163;426;454;779;1055;1164;375;885;1209;687;1073;1156;171;509;107;1009;460;52;599;751;762;1088","1178;403;91;1140;426;375;885"
0.020000,3494,3494,0,6,0,1,10,"43;621;623;721;742;878","","","","744;878;278;625;882;1095;45;368;646;154;1081;160;430;623;889;1199;366;43;644;742;876;1133;162;500;678;1000;1200;98;451;807;1064;1147;407;721;600;137;866;1230;72;435;760;1036;1145;56;502;794;1027;1182","878;623;43;742;721"
0.020000,3644,3644,0,7,0,1,14,"57;183;392;503;699;766;1203","","","","57;325;464;766;1077;1160;392;474;799;1075;1184;503;408;795;1028;1183;513;175;691;1013;1213;2;603;755;889;1092;639;706;905;1215;122;95;487;779;1066;1167","57;766;392;503"
0.020000,3941,3941,0,6,0,1,10,"6;329;337;983;1131;1237","","","","287;564;23;1218;634;753;891;1104;198;470;653;997;109;919;1265;840;187;337;983;695;525;649;1025;1225;276;459;696;986;1207;499;1091;218;607;1131;329;1237;873;144;136;314;726;864;414;6;728;705;893;1096","337;983;1131;329;1237;6"
0.020000,4491,4491,0,5,0,1,10,"321;364;569;1002;1245","","","","364;1198;449;805;1062;1145;214;498;676;998;96;41;642;740;874;1131;235;658;516;204;1000;1108;14;546;810;935;1245;124;563;842;948;1293","364;1245"
