result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_decoded_clean_without_ml_invocation,frames_with_ml_invocation,frames_with_applied_ml_escape,frames_with_ml_invocation_no_applied_escape,frames_with_ml_invocation_decoded_clean,applied_ml_escape_frame_rate_pct,total_stagnation_events,total_ml_predict_calls,total_applied_ml_escape_actions
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.070000,0.070000,0.005000,0.002500,107,7,2,105,105,0,5,100.000000,0,5460,4403
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.067500,0.070000,0.005000,0.002500,110,10,2,108,108,0,8,100.000000,0,5457,4467
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.065000,0.070000,0.005000,0.002500,110,10,5,105,105,0,5,100.000000,1,5387,4364
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.062500,0.070000,0.005000,0.002500,120,20,3,117,117,0,17,100.000000,0,5553,4641
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.060000,0.070000,0.005000,0.002500,145,45,16,129,129,0,29,100.000000,2,5784,4703
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.057500,0.070000,0.005000,0.002500,169,69,38,131,131,0,31,100.000000,3,5820,4789
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.055000,0.070000,0.005000,0.002500,164,64,34,130,130,0,30,100.000000,2,5838,4758
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.052500,0.070000,0.005000,0.002500,190,90,53,137,137,0,37,100.000000,2,5656,4638
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.050000,0.070000,0.005000,0.002500,239,139,84,155,155,0,55,100.000000,1,5964,4967
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.047500,0.070000,0.005000,0.002500,368,268,166,202,202,0,102,100.000000,3,6690,5416
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.045000,0.070000,0.005000,0.002500,393,293,198,195,195,0,95,100.000000,3,6443,5201
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.042500,0.070000,0.005000,0.002500,576,476,363,213,213,0,113,100.000000,1,6653,5419
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.040000,0.070000,0.005000,0.002500,746,646,494,252,252,0,152,100.000000,2,7269,5868
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.037500,0.070000,0.005000,0.002500,1193,1093,916,277,277,0,177,100.000000,5,7280,5824
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.035000,0.070000,0.005000,0.002500,1715,1615,1410,305,305,0,205,100.000000,11,7241,5934
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.032500,0.070000,0.005000,0.002500,2797,2697,2447,350,350,0,250,100.000000,6,7437,6063
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.030000,0.070000,0.005000,0.002500,4446,4346,4044,402,402,0,302,100.000000,42,8266,6549
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.027500,0.070000,0.005000,0.002500,6689,6589,6309,380,380,0,280,100.000000,91,7272,5751
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.025000,0.070000,0.005000,0.002500,10356,10256,9990,366,366,0,266,100.000000,1,7120,5769
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.022500,0.070000,0.005000,0.002500,19952,19852,19532,420,420,0,320,100.000000,100,6865,5641
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.020000,0.070000,0.005000,0.002500,34636,34536,34246,390,390,0,290,100.000000,10,6730,5600
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.017500,0.070000,0.005000,0.002500,82580,82480,82140,440,440,0,340,100.000000,6,6957,5883
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.015000,0.070000,0.005000,0.002500,184080,183980,183652,428,428,0,328,100.000000,1,6707,5612
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.012500,0.070000,0.005000,0.002500,387730,387630,387379,351,351,0,251,100.000000,3,5992,5256
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.010000,0.070000,0.005000,0.002500,1005309,1005209,1005013,296,296,0,196,100.000000,37,6160,5119
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.007500,0.070000,0.005000,0.002500,3882762,3882662,3882484,278,278,0,178,100.000000,38,5899,5115
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_2it.res,10000000,100,100,0.005000,0.005000,-0.995000,1.000000,10000000,9999968,9999884,116,116,0,84,100.000000,38,2074,1781
