result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_decoded_clean_without_ml_invocation,frames_with_ml_invocation,frames_with_applied_ml_escape,frames_with_ml_invocation_no_applied_escape,frames_with_ml_invocation_decoded_clean,applied_ml_escape_frame_rate_pct,total_stagnation_events,total_ml_predict_calls,total_applied_ml_escape_actions
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.070000,0.070000,0.004000,0.002500,107,7,2,105,105,0,5,100.000000,192,2532,2170
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.067500,0.070000,0.004000,0.002500,113,13,2,111,111,0,11,100.000000,187,2692,2249
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.065000,0.070000,0.004000,0.002500,118,18,5,113,113,0,13,100.000000,169,2675,2262
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.062500,0.070000,0.004000,0.002500,132,32,7,125,125,0,25,100.000000,183,2843,2412
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.060000,0.070000,0.004000,0.002500,152,52,22,130,130,0,30,100.000000,161,2876,2400
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.057500,0.070000,0.004000,0.002500,180,80,38,142,142,0,42,100.000000,167,2961,2509
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.055000,0.070000,0.004000,0.002500,192,92,42,150,150,0,50,100.000000,163,3043,2546
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.052500,0.070000,0.004000,0.002500,260,160,87,173,173,0,73,100.000000,181,3217,2690
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.050000,0.070000,0.004000,0.002500,305,205,103,202,202,0,102,100.000000,158,3421,2833
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.047500,0.070000,0.004000,0.002500,456,356,186,270,270,0,170,100.000000,213,4093,3397
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.045000,0.070000,0.004000,0.002500,697,597,379,318,318,0,218,100.000000,218,4402,3628
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.042500,0.070000,0.004000,0.002500,897,797,518,379,379,0,279,100.000000,202,4778,3964
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.040000,0.070000,0.004000,0.002500,1485,1385,1058,427,427,0,327,100.000000,302,4978,4014
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.037500,0.070000,0.004000,0.002500,2031,1931,1507,524,524,0,424,100.000000,289,5259,4284
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.035000,0.070000,0.004000,0.002500,3621,3521,2958,663,663,0,563,100.000000,292,5968,4817
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.032500,0.070000,0.004000,0.002500,5643,5543,4936,707,707,0,607,100.000000,319,5845,4726
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.030000,0.070000,0.004000,0.002500,9213,9113,8383,830,830,0,730,100.000000,458,6340,5075
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.027500,0.070000,0.004000,0.002500,18250,18150,17185,1065,1065,0,965,100.000000,491,7336,5892
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.025000,0.070000,0.004000,0.002500,42090,41990,40610,1480,1480,0,1380,100.000000,612,8239,6538
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.022500,0.070000,0.004000,0.002500,72921,72821,71410,1511,1511,0,1411,100.000000,484,7893,6304
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.020000,0.070000,0.004000,0.002500,156530,156430,154826,1704,1704,0,1604,100.000000,706,8002,6409
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.017500,0.070000,0.004000,0.002500,290379,290279,288734,1645,1645,0,1545,100.000000,627,7307,6037
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.015000,0.070000,0.004000,0.002500,856848,856748,854824,2024,2023,1,1924,99.950593,452,8025,6804
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.012500,0.070000,0.004000,0.002500,2021497,2021397,2019618,1879,1879,0,1779,100.000000,672,7136,6153
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.010000,0.070000,0.004000,0.002500,7141808,7141708,7139714,2094,2094,0,1994,100.000000,821,7350,6417
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.007500,0.070000,0.004000,0.002500,10000000,9999969,9999269,731,731,0,700,100.000000,287,2520,2269
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation_4it.res,10000000,100,100,0.005000,0.070000,0.004000,0.002500,10000000,9999995,9999898,102,102,0,97,100.000000,22,348,303
