alpha,frames_tested,frames_feedback_success,gen,count,pct_among_feedback_success,cumulative_pct,is_overflow
0.030000,15793,1162,1,206,17.728055,17.728055,0
0.030000,15793,1162,2,141,12.134251,29.862306,0
0.030000,15793,1162,3,103,8.864028,38.726334,0
0.030000,15793,1162,4,96,8.261618,46.987952,0
0.030000,15793,1162,5,74,6.368330,53.356282,0
0.030000,15793,1162,6,68,5.851979,59.208262,0
0.030000,15793,1162,7,61,5.249570,64.457831,0
0.030000,15793,1162,8,59,5.077453,69.535284,0
0.030000,15793,1162,9,46,3.958692,73.493976,0
0.030000,15793,1162,10,37,3.184165,76.678141,0
0.030000,15793,1162,11,32,2.753873,79.432014,0
0.030000,15793,1162,12,29,2.495697,81.927711,0
0.030000,15793,1162,13,30,2.581756,84.509466,0
0.030000,15793,1162,14,24,2.065404,86.574871,0
0.030000,15793,1162,15,13,1.118761,87.693632,0
0.030000,15793,1162,16,16,1.376936,89.070568,0
0.030000,15793,1162,17,24,2.065404,91.135972,0
0.030000,15793,1162,18,14,1.204819,92.340792,0
0.030000,15793,1162,19,13,1.118761,93.459552,0
0.030000,15793,1162,20,13,1.118761,94.578313,0
0.030000,15793,1162,21,17,1.462995,96.041308,0
0.030000,15793,1162,22,12,1.032702,97.074010,0
0.030000,15793,1162,23,9,0.774527,97.848537,0
0.030000,15793,1162,24,6,0.516351,98.364888,0
0.030000,15793,1162,25,11,0.946644,99.311532,0
0.030000,15793,1162,26,2,0.172117,99.483649,0
0.030000,15793,1162,27,6,0.516351,100.000000,0
0.027500,35101,1404,1,228,16.239316,16.239316,0
0.027500,35101,1404,2,163,11.609687,27.849003,0
0.027500,35101,1404,3,127,9.045584,36.894587,0
0.027500,35101,1404,4,129,9.188034,46.082621,0
0.027500,35101,1404,5,96,6.837607,52.920228,0
0.027500,35101,1404,6,84,5.982906,58.903134,0
0.027500,35101,1404,7,86,6.125356,65.028490,0
0.027500,35101,1404,8,67,4.772080,69.800570,0
0.027500,35101,1404,9,64,4.558405,74.358974,0
0.027500,35101,1404,10,42,2.991453,77.350427,0
0.027500,35101,1404,11,38,2.706553,80.056980,0
0.027500,35101,1404,12,34,2.421652,82.478632,0
0.027500,35101,1404,13,23,1.638177,84.116809,0
0.027500,35101,1404,14,28,1.994302,86.111111,0
0.027500,35101,1404,15,31,2.207977,88.319088,0
0.027500,35101,1404,16,25,1.780627,90.099715,0
0.027500,35101,1404,17,21,1.495726,91.595442,0
0.027500,35101,1404,18,21,1.495726,93.091168,0
0.027500,35101,1404,19,18,1.282051,94.373219,0
0.027500,35101,1404,20,14,0.997151,95.370370,0
0.027500,35101,1404,21,16,1.139601,96.509972,0
0.027500,35101,1404,22,10,0.712251,97.222222,0
0.027500,35101,1404,23,12,0.854701,98.076923,0
0.027500,35101,1404,24,8,0.569801,98.646724,0
0.027500,35101,1404,25,10,0.712251,99.358974,0
0.027500,35101,1404,26,4,0.284900,99.643875,0
0.027500,35101,1404,27,5,0.356125,100.000000,0
0.025000,60951,1283,1,220,17.147311,17.147311,0
0.025000,60951,1283,2,168,13.094310,30.241621,0
0.025000,60951,1283,3,120,9.353079,39.594700,0
0.025000,60951,1283,4,116,9.041309,48.636009,0
0.025000,60951,1283,5,104,8.106002,56.742011,0
0.025000,60951,1283,6,90,7.014809,63.756820,0
0.025000,60951,1283,7,74,5.767732,69.524552,0
0.025000,60951,1283,8,70,5.455963,74.980514,0
0.025000,60951,1283,9,33,2.572097,77.552611,0
0.025000,60951,1283,10,33,2.572097,80.124708,0
0.025000,60951,1283,11,41,3.195635,83.320343,0
0.025000,60951,1283,12,25,1.948558,85.268901,0
0.025000,60951,1283,13,17,1.325019,86.593920,0
0.025000,60951,1283,14,19,1.480904,88.074825,0
0.025000,60951,1283,15,24,1.870616,89.945440,0
0.025000,60951,1283,16,19,1.480904,91.426345,0
0.025000,60951,1283,17,20,1.558846,92.985191,0
0.025000,60951,1283,18,14,1.091193,94.076383,0
0.025000,60951,1283,19,8,0.623539,94.699922,0
0.025000,60951,1283,20,8,0.623539,95.323461,0
0.025000,60951,1283,21,8,0.623539,95.946999,0
0.025000,60951,1283,22,17,1.325019,97.272019,0
0.025000,60951,1283,23,8,0.623539,97.895557,0
0.025000,60951,1283,24,7,0.545596,98.441154,0
0.025000,60951,1283,25,9,0.701481,99.142634,0
0.025000,60951,1283,26,6,0.467654,99.610288,0
0.025000,60951,1283,27,5,0.389712,100.000000,0
0.022500,177070,1699,1,301,17.716304,17.716304,0
0.022500,177070,1699,2,236,13.890524,31.606828,0
0.022500,177070,1699,3,153,9.005297,40.612125,0
0.022500,177070,1699,4,155,9.123014,49.735138,0
0.022500,177070,1699,5,116,6.827546,56.562684,0
0.022500,177070,1699,6,121,7.121836,63.684520,0
0.022500,177070,1699,7,88,5.179517,68.864038,0
0.022500,177070,1699,8,72,4.237787,73.101825,0
0.022500,177070,1699,9,63,3.708064,76.809888,0
0.022500,177070,1699,10,52,3.060624,79.870512,0
0.022500,177070,1699,11,46,2.707475,82.577987,0
0.022500,177070,1699,12,44,2.589759,85.167746,0
0.022500,177070,1699,13,46,2.707475,87.875221,0
0.022500,177070,1699,14,32,1.883461,89.758682,0
0.022500,177070,1699,15,24,1.412596,91.171277,0
0.022500,177070,1699,16,27,1.589170,92.760447,0
0.022500,177070,1699,17,23,1.353737,94.114185,0
0.022500,177070,1699,18,17,1.000589,95.114773,0
0.022500,177070,1699,19,17,1.000589,96.115362,0
0.022500,177070,1699,20,15,0.882872,96.998234,0
0.022500,177070,1699,21,7,0.412007,97.410241,0
0.022500,177070,1699,22,11,0.647440,98.057681,0
0.022500,177070,1699,23,7,0.412007,98.469688,0
0.022500,177070,1699,24,7,0.412007,98.881695,0
0.022500,177070,1699,25,7,0.412007,99.293702,0
0.022500,177070,1699,26,8,0.470865,99.764567,0
0.022500,177070,1699,27,4,0.235433,100.000000,0
0.020000,418760,1751,1,284,16.219303,16.219303,0
0.020000,418760,1751,2,200,11.422045,27.641348,0
0.020000,418760,1751,3,183,10.451171,38.092519,0
0.020000,418760,1751,4,135,7.709880,45.802399,0
0.020000,418760,1751,5,143,8.166762,53.969160,0
0.020000,418760,1751,6,101,5.768132,59.737293,0
0.020000,418760,1751,7,89,5.082810,64.820103,0
0.020000,418760,1751,8,73,4.169046,68.989149,0
0.020000,418760,1751,9,82,4.683038,73.672187,0
0.020000,418760,1751,10,78,4.454597,78.126785,0
0.020000,418760,1751,11,62,3.540834,81.667619,0
0.020000,418760,1751,12,40,2.284409,83.952027,0
0.020000,418760,1751,13,34,1.941748,85.893775,0
0.020000,418760,1751,14,35,1.998858,87.892633,0
0.020000,418760,1751,15,35,1.998858,89.891491,0
0.020000,418760,1751,16,27,1.541976,91.433467,0
0.020000,418760,1751,17,28,1.599086,93.032553,0
0.020000,418760,1751,18,18,1.027984,94.060537,0
0.020000,418760,1751,19,26,1.484866,95.545403,0
0.020000,418760,1751,20,15,0.856653,96.402056,0
0.020000,418760,1751,21,16,0.913764,97.315820,0
0.020000,418760,1751,22,7,0.399772,97.715591,0
0.020000,418760,1751,23,15,0.856653,98.572244,0
0.020000,418760,1751,24,5,0.285551,98.857796,0
0.020000,418760,1751,25,9,0.513992,99.371788,0
0.020000,418760,1751,26,3,0.171331,99.543118,0
0.020000,418760,1751,27,8,0.456882,100.000000,0
0.017500,884692,1512,1,250,16.534392,16.534392,0
0.017500,884692,1512,2,205,13.558201,30.092593,0
0.017500,884692,1512,3,167,11.044974,41.137566,0
0.017500,884692,1512,4,131,8.664021,49.801587,0
0.017500,884692,1512,5,109,7.208995,57.010582,0
0.017500,884692,1512,6,92,6.084656,63.095238,0
0.017500,884692,1512,7,78,5.158730,68.253968,0
0.017500,884692,1512,8,78,5.158730,73.412698,0
0.017500,884692,1512,9,63,4.166667,77.579365,0
0.017500,884692,1512,10,50,3.306878,80.886243,0
0.017500,884692,1512,11,42,2.777778,83.664021,0
0.017500,884692,1512,12,39,2.579365,86.243386,0
0.017500,884692,1512,13,39,2.579365,88.822751,0
0.017500,884692,1512,14,23,1.521164,90.343915,0
0.017500,884692,1512,15,13,0.859788,91.203704,0
0.017500,884692,1512,16,27,1.785714,92.989418,0
0.017500,884692,1512,17,19,1.256614,94.246032,0
0.017500,884692,1512,18,11,0.727513,94.973545,0
0.017500,884692,1512,19,9,0.595238,95.568783,0
0.017500,884692,1512,20,9,0.595238,96.164021,0
0.017500,884692,1512,21,10,0.661376,96.825397,0
0.017500,884692,1512,22,9,0.595238,97.420635,0
0.017500,884692,1512,23,14,0.925926,98.346561,0
0.017500,884692,1512,24,6,0.396825,98.743386,0
0.017500,884692,1512,25,8,0.529101,99.272487,0
0.017500,884692,1512,26,8,0.529101,99.801587,0
0.017500,884692,1512,27,3,0.198413,100.000000,0
0.015000,3186286,1939,1,329,16.967509,16.967509,0
0.015000,3186286,1939,2,207,10.675606,27.643115,0
0.015000,3186286,1939,3,190,9.798865,37.441980,0
0.015000,3186286,1939,4,169,8.715833,46.157813,0
0.015000,3186286,1939,5,168,8.664260,54.822073,0
0.015000,3186286,1939,6,139,7.168644,61.990717,0
0.015000,3186286,1939,7,116,5.982465,67.973182,0
0.015000,3186286,1939,8,78,4.022692,71.995874,0
0.015000,3186286,1939,9,63,3.249097,75.244972,0
0.015000,3186286,1939,10,68,3.506962,78.751934,0
0.015000,3186286,1939,11,60,3.094379,81.846313,0
0.015000,3186286,1939,12,52,2.681795,84.528107,0
0.015000,3186286,1939,13,44,2.269211,86.797318,0
0.015000,3186286,1939,14,50,2.578649,89.375967,0
0.015000,3186286,1939,15,27,1.392470,90.768437,0
0.015000,3186286,1939,16,43,2.217638,92.986075,0
0.015000,3186286,1939,17,19,0.979887,93.965962,0
0.015000,3186286,1939,18,16,0.825168,94.791129,0
0.015000,3186286,1939,19,15,0.773595,95.564724,0
0.015000,3186286,1939,20,20,1.031460,96.596184,0
0.015000,3186286,1939,21,9,0.464157,97.060340,0
0.015000,3186286,1939,22,15,0.773595,97.833935,0
0.015000,3186286,1939,23,9,0.464157,98.298092,0
0.015000,3186286,1939,24,11,0.567303,98.865395,0
0.015000,3186286,1939,25,10,0.515730,99.381124,0
0.015000,3186286,1939,26,6,0.309438,99.690562,0
0.015000,3186286,1939,27,6,0.309438,100.000000,0
0.012500,10000000,2142,1,326,15.219421,15.219421,0
0.012500,10000000,2142,2,229,10.690943,25.910364,0
0.012500,10000000,2142,3,191,8.916900,34.827264,0
0.012500,10000000,2142,4,215,10.037348,44.864613,0
0.012500,10000000,2142,5,175,8.169935,53.034547,0
0.012500,10000000,2142,6,163,7.609711,60.644258,0
0.012500,10000000,2142,7,173,8.076564,68.720822,0
0.012500,10000000,2142,8,108,5.042017,73.762838,0
0.012500,10000000,2142,9,91,4.248366,78.011204,0
0.012500,10000000,2142,10,58,2.707750,80.718954,0
0.012500,10000000,2142,11,61,2.847806,83.566760,0
0.012500,10000000,2142,12,47,2.194211,85.760971,0
0.012500,10000000,2142,13,73,3.408030,89.169001,0
0.012500,10000000,2142,14,55,2.567694,91.736695,0
0.012500,10000000,2142,15,36,1.680672,93.417367,0
0.012500,10000000,2142,16,26,1.213819,94.631186,0
0.012500,10000000,2142,17,12,0.560224,95.191410,0
0.012500,10000000,2142,18,16,0.746965,95.938375,0
0.012500,10000000,2142,19,21,0.980392,96.918768,0
0.012500,10000000,2142,20,16,0.746965,97.665733,0
0.012500,10000000,2142,21,14,0.653595,98.319328,0
0.012500,10000000,2142,22,4,0.186741,98.506069,0
0.012500,10000000,2142,23,9,0.420168,98.926237,0
0.012500,10000000,2142,24,7,0.326797,99.253035,0
0.012500,10000000,2142,25,11,0.513539,99.766573,0
0.012500,10000000,2142,26,2,0.093371,99.859944,0
0.012500,10000000,2142,27,3,0.140056,100.000000,0
0.010000,10000000,600,1,79,13.166667,13.166667,0
0.010000,10000000,600,2,67,11.166667,24.333333,0
0.010000,10000000,600,3,61,10.166667,34.500000,0
0.010000,10000000,600,4,54,9.000000,43.500000,0
0.010000,10000000,600,5,50,8.333333,51.833333,0
0.010000,10000000,600,6,56,9.333333,61.166667,0
0.010000,10000000,600,7,34,5.666667,66.833333,0
0.010000,10000000,600,8,39,6.500000,73.333333,0
0.010000,10000000,600,9,27,4.500000,77.833333,0
0.010000,10000000,600,10,17,2.833333,80.666667,0
0.010000,10000000,600,11,8,1.333333,82.000000,0
0.010000,10000000,600,12,17,2.833333,84.833333,0
0.010000,10000000,600,13,21,3.500000,88.333333,0
0.010000,10000000,600,14,5,0.833333,89.166667,0
0.010000,10000000,600,15,2,0.333333,89.500000,0
0.010000,10000000,600,16,5,0.833333,90.333333,0
0.010000,10000000,600,17,7,1.166667,91.500000,0
0.010000,10000000,600,18,13,2.166667,93.666667,0
0.010000,10000000,600,19,5,0.833333,94.500000,0
0.010000,10000000,600,20,4,0.666667,95.166667,0
0.010000,10000000,600,21,4,0.666667,95.833333,0
0.010000,10000000,600,22,3,0.500000,96.333333,0
0.010000,10000000,600,23,9,1.500000,97.833333,0
0.010000,10000000,600,24,7,1.166667,99.000000,0
0.010000,10000000,600,25,1,0.166667,99.166667,0
0.010000,10000000,600,26,4,0.666667,99.833333,0
0.010000,10000000,600,27,1,0.166667,100.000000,0
0.007500,10000000,144,1,23,15.972222,15.972222,0
0.007500,10000000,144,2,18,12.500000,28.472222,0
0.007500,10000000,144,3,14,9.722222,38.194444,0
0.007500,10000000,144,4,13,9.027778,47.222222,0
0.007500,10000000,144,5,15,10.416667,57.638889,0
0.007500,10000000,144,6,5,3.472222,61.111111,0
0.007500,10000000,144,7,6,4.166667,65.277778,0
0.007500,10000000,144,8,7,4.861111,70.138889,0
0.007500,10000000,144,9,4,2.777778,72.916667,0
0.007500,10000000,144,10,4,2.777778,75.694444,0
0.007500,10000000,144,11,8,5.555556,81.250000,0
0.007500,10000000,144,12,4,2.777778,84.027778,0
0.007500,10000000,144,13,1,0.694444,84.722222,0
0.007500,10000000,144,14,5,3.472222,88.194444,0
0.007500,10000000,144,15,3,2.083333,90.277778,0
0.007500,10000000,144,16,1,0.694444,90.972222,0
0.007500,10000000,144,17,3,2.083333,93.055556,0
0.007500,10000000,144,18,1,0.694444,93.750000,0
0.007500,10000000,144,19,1,0.694444,94.444444,0
0.007500,10000000,144,20,1,0.694444,95.138889,0
0.007500,10000000,144,21,1,0.694444,95.833333,0
0.007500,10000000,144,22,3,2.083333,97.916667,0
0.007500,10000000,144,23,2,1.388889,99.305556,0
0.007500,10000000,144,24,1,0.694444,100.000000,0
0.005000,10000000,17,1,3,17.647059,17.647059,0
0.005000,10000000,17,2,1,5.882353,23.529412,0
0.005000,10000000,17,3,2,11.764706,35.294118,0
0.005000,10000000,17,4,2,11.764706,47.058824,0
0.005000,10000000,17,5,1,5.882353,52.941176,0
0.005000,10000000,17,6,2,11.764706,64.705882,0
0.005000,10000000,17,7,1,5.882353,70.588235,0
0.005000,10000000,17,9,1,5.882353,76.470588,0
0.005000,10000000,17,10,1,5.882353,82.352941,0
0.005000,10000000,17,12,1,5.882353,88.235294,0
0.005000,10000000,17,18,1,5.882353,94.117647,0
0.005000,10000000,17,23,1,5.882353,100.000000,0
