alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,11064,10168,896,796,100,91.901663,7.194505,0.903832,3,10,12,4.548995,16
0.027500,25140,24067,1073,973,100,95.731901,3.870326,0.397772,3,10,12,4.484070,16
0.025000,53467,52351,1116,1016,100,97.912731,1.900238,0.187031,3,10,12,4.662402,16
0.022500,126849,125550,1299,1199,100,98.975948,0.945218,0.078834,3,10,12,4.415346,16
0.020000,328733,327278,1455,1355,100,99.557392,0.412189,0.030420,3,10,12,4.159410,16
0.017500,801173,799751,1422,1322,100,99.822510,0.165008,0.012482,3,9,11,4.108926,16
0.015000,2222502,2221063,1439,1339,100,99.935253,0.060247,0.004499,3,9,11,4.294249,16
0.012500,8382609,8380717,1892,1792,100,99.977429,0.021378,0.001193,3,9,12,4.069754,16
0.010000,10000000,9999346,654,623,31,99.993460,0.006230,0.000310,3,9,12,4.306581,16
0.007500,10000000,9999858,142,135,7,99.998580,0.001350,0.000070,3,9,12,4.451852,15
0.005000,10000000,9999975,25,24,1,99.999750,0.000240,0.000010,3,10,10,3.833333,11
