result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_decoded_clean_without_ml_invocation,frames_with_ml_invocation,frames_with_applied_ml_escape,frames_with_ml_invocation_no_applied_escape,frames_with_ml_invocation_decoded_clean,applied_ml_escape_frame_rate_pct,total_stagnation_events,total_ml_predict_calls,total_applied_ml_escape_actions
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_max_5_win/simulation.res,10000000,100,100,0.030000,0.030000,0.004000,0.002500,11064,10964,104,10960,7582,3378,10860,69.178832,2838,81636,17285
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_max_5_win/simulation.res,10000000,100,100,0.027500,0.030000,0.004000,0.002500,25140,25040,678,24462,15147,9315,24362,61.920530,4279,141245,28976
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_max_5_win/simulation.res,10000000,100,100,0.025000,0.030000,0.004000,0.002500,53467,53367,2994,50473,27424,23049,50373,54.334000,5639,238970,45397
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_max_5_win/simulation.res,10000000,100,100,0.022500,0.030000,0.004000,0.002500,126849,126749,14038,112811,52177,60634,112711,46.251695,8314,441976,76741
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_max_5_win/simulation.res,10000000,100,100,0.020000,0.030000,0.004000,0.002500,328733,328633,66366,262367,101350,161017,262267,38.629096,11928,872632,134545
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_max_5_win/simulation.res,10000000,100,100,0.017500,0.030000,0.004000,0.002500,801173,801073,263444,537729,169104,368625,537629,31.447811,14591,1531436,207277
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_max_5_win/simulation.res,10000000,100,100,0.015000,0.030000,0.004000,0.002500,2222502,2222402,1086318,1136184,282156,854028,1136084,24.833654,18687,2791587,324696
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_max_5_win/simulation.res,10000000,100,100,0.012500,0.030000,0.004000,0.002500,8382609,8382509,5536928,2845681,551788,2293893,2845581,19.390367,27744,6046285,603359
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_max_5_win/simulation.res,10000000,100,100,0.010000,0.030000,0.004000,0.002500,10000000,9999969,8139863,1860137,282432,1577705,1860106,15.183398,10034,3419872,297959
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_max_5_win/simulation.res,10000000,100,100,0.007500,0.030000,0.004000,0.002500,10000000,9999993,9227627,772373,91115,681258,772366,11.796761,2193,1223859,93682
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_max_5_win/simulation.res,10000000,100,100,0.005000,0.030000,0.004000,0.002500,10000000,9999999,9796611,203389,18238,185151,203388,8.967053,260,277751,18457
