alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,12974,11948,1026,926,100,92.091876,7.137352,0.770772,5,16,20,6.958963,27
0.027500,35669,34149,1520,1420,100,95.738597,3.981048,0.280355,5,16,20,6.735915,27
0.025000,69080,67487,1593,1493,100,97.693978,2.161262,0.144760,5,15,19,6.599464,27
0.022500,124483,123183,1300,1200,100,98.955681,0.963987,0.080332,4,14,18,6.162500,27
0.020000,389776,388068,1708,1608,100,99.561800,0.412545,0.025656,5,14,19,6.361318,27
0.017500,999884,998057,1827,1727,100,99.817279,0.172720,0.010001,4,15,19,6.332368,27
0.015000,3054178,3052151,2027,1927,100,99.933632,0.063094,0.003274,4,14,18,6.281785,27
0.012500,10000000,9997776,2224,2132,92,99.977760,0.021320,0.000920,5,15,18,6.400563,27
0.010000,10000000,9999319,681,649,32,99.993190,0.006490,0.000320,5,14,19,6.406780,27
0.007500,10000000,9999846,154,145,9,99.998460,0.001450,0.000090,4,11,16,5.386207,23
0.005000,10000000,9999978,22,21,1,99.999780,0.000210,0.000010,4,10,11,5.666667,14
