result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_decoded_clean_without_ml_invocation,frames_with_ml_invocation,frames_with_applied_ml_escape,frames_with_ml_invocation_no_applied_escape,frames_with_ml_invocation_decoded_clean,applied_ml_escape_frame_rate_pct,total_stagnation_events,total_ml_predict_calls,total_applied_ml_escape_actions
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_3_win/simulation.res,10000000,100,100,0.030000,0.030000,0.004000,0.002500,12974,12874,155,12819,8908,3911,12719,69.490600,3071,98388,20441
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_3_win/simulation.res,10000000,100,100,0.027500,0.030000,0.004000,0.002500,35669,35569,939,34730,21500,13230,34630,61.906133,5439,205928,41812
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_3_win/simulation.res,10000000,100,100,0.025000,0.030000,0.004000,0.002500,69080,68980,3933,65147,35582,29565,65047,54.618018,7014,315024,59910
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_3_win/simulation.res,10000000,100,100,0.022500,0.030000,0.004000,0.002500,124483,124383,13917,110566,51672,58894,110466,46.734077,7578,439339,76347
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_3_win/simulation.res,10000000,100,100,0.020000,0.030000,0.004000,0.002500,389776,389676,78153,311623,120666,190957,311523,38.721789,13424,1040011,161129
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_3_win/simulation.res,10000000,100,100,0.017500,0.030000,0.004000,0.002500,999884,999784,329008,670876,210946,459930,670776,31.443367,17832,1920115,259637
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_3_win/simulation.res,10000000,100,100,0.015000,0.030000,0.004000,0.002500,3054178,3054078,1491084,1563094,389134,1173960,1562994,24.895112,25021,3851810,448375
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_3_win/simulation.res,10000000,100,100,0.012500,0.030000,0.004000,0.002500,10000000,9999908,6604566,3395434,660422,2735012,3395342,19.450297,32495,7227542,723840
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_3_win/simulation.res,10000000,100,100,0.010000,0.030000,0.004000,0.002500,10000000,9999968,8138349,1861651,281823,1579828,1861619,15.138337,9837,3422715,297941
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_3_win/simulation.res,10000000,100,100,0.007500,0.030000,0.004000,0.002500,10000000,9999991,9228552,771448,91321,680127,771439,11.837609,2146,1223253,93920
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_3_win/simulation.res,10000000,100,100,0.005000,0.030000,0.004000,0.002500,10000000,9999999,9796695,203305,18277,185028,203304,8.989941,256,277171,18509
