alpha,frames_tested,frames_feedback_success,gen,count,pct_among_feedback_success,cumulative_pct,is_overflow
0.030000,9348,611,1,172,28.150573,28.150573,0
0.030000,9348,611,2,74,12.111293,40.261866,0
0.030000,9348,611,3,73,11.947627,52.209493,0
0.030000,9348,611,4,53,8.674304,60.883797,0
0.030000,9348,611,5,49,8.019640,68.903437,0
0.030000,9348,611,6,43,7.037643,75.941080,0
0.030000,9348,611,7,30,4.909984,80.851064,0
0.030000,9348,611,8,24,3.927987,84.779051,0
0.030000,9348,611,9,18,2.945990,87.725041,0
0.030000,9348,611,10,12,1.963993,89.689034,0
0.030000,9348,611,11,7,1.145663,90.834697,0
0.030000,9348,611,12,10,1.636661,92.471358,0
0.030000,9348,611,13,18,2.945990,95.417349,0
0.030000,9348,611,14,6,0.981997,96.399345,0
0.030000,9348,611,15,11,1.800327,98.199673,0
0.030000,9348,611,16,11,1.800327,100.000000,0
0.027500,20178,773,1,202,26.131953,26.131953,0
0.027500,20178,773,2,104,13.454075,39.586028,0
0.027500,20178,773,3,90,11.642950,51.228978,0
0.027500,20178,773,4,60,7.761966,58.990944,0
0.027500,20178,773,5,54,6.985770,65.976714,0
0.027500,20178,773,6,63,8.150065,74.126779,0
0.027500,20178,773,7,52,6.727038,80.853816,0
0.027500,20178,773,8,25,3.234153,84.087969,0
0.027500,20178,773,9,32,4.139715,88.227684,0
0.027500,20178,773,10,27,3.492885,91.720569,0
0.027500,20178,773,11,13,1.681759,93.402329,0
0.027500,20178,773,12,15,1.940492,95.342820,0
0.027500,20178,773,13,12,1.552393,96.895213,0
0.027500,20178,773,14,13,1.681759,98.576973,0
0.027500,20178,773,15,4,0.517464,99.094437,0
0.027500,20178,773,16,7,0.905563,100.000000,0
0.025000,49077,1019,1,289,28.361138,28.361138,0
0.025000,49077,1019,2,139,13.640824,42.001963,0
0.025000,49077,1019,3,111,10.893032,52.894995,0
0.025000,49077,1019,4,93,9.126595,62.021590,0
0.025000,49077,1019,5,68,6.673209,68.694799,0
0.025000,49077,1019,6,70,6.869480,75.564279,0
0.025000,49077,1019,7,59,5.789990,81.354269,0
0.025000,49077,1019,8,35,3.434740,84.789009,0
0.025000,49077,1019,9,31,3.042198,87.831207,0
0.025000,49077,1019,10,29,2.845927,90.677134,0
0.025000,49077,1019,11,28,2.747792,93.424926,0
0.025000,49077,1019,12,17,1.668302,95.093229,0
