alpha,frame_index_alpha,frame_index_global,used_iterations,frame_bit_errors,is_codeword,ml_invoked,ml_calls_in_frame,error_vn_indices,error_vn_last5_energies,global_max_last5_energies,global_max_vn_indices_last5,ml_proposed_vn_indices,ml_proposed_error_overlap
0.020000,361,361,0,11,0,1,12,"81;187;416;441;444;769;986;1025;1057;1137;1240","","","","382;750;85;1157;1065;1205;101;464;789;629;1174;112;531;769;1056;895;757;1151;370;455;1068;102;69;404;432;1033;1142;73;424;519;1044;1145;1140;91;1057;800;419;806;444;68;484;514;809;1039;359;1031;67;402;763;438;79;430;1050;75;525;410;1148;461;376;1074;54;312;441;169;1189;1022;678;134;605;724;916;1129;48;589;811;944;1290;88;1054;1137;797;356;766;78;413;1042;416;1239;730;875;146;65;511;803;1036;609;1045;1154;81","769;1057;444;441;1137;416;81"
0.020000,1828,1828,0,10,0,1,10,"76;91;411;457;462;760;764;800;1073;1171","","","","186;336;1024;458;524;1224;275;648;695;985;1206;217;498;694;982;1090;783;95;430;760;1059;1168;1071;1154;373;105;1040;99;74;1177;342;481;396;491;1070;1171;68;475;1034;1141;485;777;756;1039;419;514;403;806;1032;1140;81;765;1047;1052;416;444;769;1153;1045;790;527;378;1184;349;434;1058;801;445;92;457;87;533;1159;782;1167;94;384;429;771;360;76;764;411;1179;344;439;483;785;1149;1042;522;427;1148","760;1171;457;76;764;411"
0.020000,2526,2526,0,8,0,1,10,"6;111;146;181;270;690;749;893","","","","609;895;138;316;728;866;1133;8;331;707;146;1098;875;1239;416;730;111;749;628;381;894;1204;893;222;550;829;935;1280;755;289;1106;636;110;380;627;748;1203;288;635;754;549;934;1279;221;1105;892;828;257;585;810;970;1130;832;568;538;957;1267;680;1022;172;36;1261;593;857;228;7;928;1292;1294;815;265;818;948;154;52;924;1269;1245;14;546;235;588;943;47;311;1289;690;1086;512;978;182;174;324;494;1012;1212;267;181;270;453;980;1201","146;111;749;893;690;181;270"
0.020000,3467,3467,0,5,0,1,11,"4;570;819;925;1246","","","","4;1246;322;821;954;545;925;327;605;703;891;1094;854;225;1289;590;939;550;307;584;860;1285;18;239;43;814;1249;115;226;554;833;1284;570;38;259;834;959;1269;131;242;849;955;29;1271;293;846;819;944;555;1254;155;266;540;543;1270;23;320;2;244;1244;952;1265;564;919;287;346;624;722;910;1113;840;589;150;566;830;261;34;255;920;634;753;109;1104;198;470;653;997;1218;378;625;746;108;1201","4;1246;925;570;819"
0.020000,3469,3469,0,10,0,1,10,"22;235;243;362;544;613;829;899;935;1112","","","","12;544;899;829;962;1254;233;276;862;933;1243;335;613;711;553;1102;1264;563;22;839;918;33;254;565;286;954;149;260;588;813;919;483;666;401;1030;1139;785;300;344;808;76;1042;211;1179;66;1010;1231;935;222;550;1280;111;204;235;354;1000;516;488;658;988;1188;1108;293;476;659;1003;1224;39;580;856;1281;14;546;810;1245;303;1112;1209;754;116;117;295;642;707;386;633","544;899;829;613;22;935;235;1112"
0.020000,3618,3618,0,11,0,1,10,"97;99;481;483;777;783;808;1040;1061;1063;1177","","","","628;381;281;749;894;1204;157;111;747;885;1098;914;350;726;27;1117;95;1061;783;804;363;1144;430;458;448;1059;1168;392;487;779;1066;1167;99;808;1063;1065;1148;380;462;787;452;1172;396;491;367;1070;1171;325;513;175;691;1013;1213;2;603;755;889;1092;57;464;766;1077;1160;74;1177;1038;1040;481;342;1147;409;437;762;1045;758;425;520;1146;1139;401;483;1030;66;516;421;70;1041;1142;417;512;397;479;1026;1135;62;1037;1138;102;455;1175;1073;1068;494;399;786;1174;1151;790;757;383;370;465;76;211;300;666;1010;1231;1179;344;785;1042;420;764;1149;69;807;1141;411;515;439","1061;783;99;808;1063;1177;1040;481;483"
0.020000,3789,3789,0,14,0,1,10,"92;314;350;360;390;412;469;538;581;680;726;903;1165;1185","","","","142;870;320;613;732;726;1083;253;581;860;966;1257;871;1235;605;412;93;390;539;777;1064;1165;428;456;781;1057;1166;361;446;802;1059;1142;411;604;725;1234;141;37;1127;360;638;736","726;581;412;390;1165;360"
0.020000,3941,3941,0,11,0,1,11,"109;379;387;440;502;548;634;680;1053;1162;1202","","","","812;259;313;590;945;1291;548;148;49;587;918;1263;16;937;1247;237;109;1202;634;379;626;287;747;753;891;1104;220;892;827;933;1278;387;1162;536;774;1061;90;900;106;794;1070;1179;469;755;117;1210;7;271;824;1249;957;228;593;857;928;1292;608;1097;706;894;330;723;311;625;868;1232;133;139;915;1128;24;347;602;911;1114;604;409;875;618;737;147;1088;454;691;981;182;82;528;766;1053;1154;98;461;786;1062;1171;680;1002;502;368;164","548;109;1202;634;379;387;1162;1053;680;502"
0.020000,4216,4216,0,2,0,1,11,"310;1241","","","","611;1241;418;732;877;148;140;318;730;868;1081;10;333;709;897;1100;23;840;1265;555;944;1254;244;287;819;919;564;722;346;624;910;1113;28;924;1118;292;249;824;845;560;1270;949;1259;351;629;727;915;569;138;601;408;867;1231;316;577;856;962;1133;609;728;866;1253","1241"
0.020000,5396,5396,0,10,0,1,12,"82;90;393;806;906;1053;1054;1137;1155;1162","","","","75;482;410;1046;1178;343;784;438;763;1039;1148;1041;521;759;426;1147;1155;417;433;789;1183;82;80;445;770;348;1168;1067;65;393;774;1031;95;430;458;783;1059;96;333;488;780;472;87;1053;440;796;355;1136;422;450;775;1051;1160;384;533;771;1058;1159;59;1185;797;394;476;801;1077;1186;1162;466;327;505;768;1079;1030;101;785;1072;398;493;464;1173;1174;382;1065;369;1150;756;454;97;1217;907;124;641;708;781;1068;1169;489;123;1118;594;713;905;906;1216;707;301;640;234;562;841;947;1292","1155;82;393;1053;1162;906"
