result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_escaped,frames_ml_no_escape,frames_ml_invoked_decoded_clean,ml_escape_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,50,100,0.020000,0.020000,0.003000,0.001000,30158,30058,20650,9508,3838,5670,9408,40.366008,1464,13895,5868
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,50,100,0.019000,0.020000,0.003000,0.001000,44019,43919,32577,11442,4433,7009,11342,38.743227,1682,15981,6538
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,50,100,0.018000,0.020000,0.003000,0.001000,59402,59302,46738,12664,4780,7884,12564,37.744788,1667,17035,6817
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,50,100,0.020000,0.020000,0.003000,0.001000,25200,25100,17273,7927,3193,4734,7827,40.280056,1224,11711,4999
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,50,100,0.019000,0.020000,0.003000,0.001000,39955,39855,29503,10452,4018,6434,10352,38.442403,1542,14597,5983
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,50,100,0.018000,0.020000,0.003000,0.001000,59712,59612,47053,12659,4782,7877,12559,37.775496,1716,17022,6798
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,50,100,0.017000,0.020000,0.003000,0.001000,66861,66761,55766,11095,4106,6989,10995,37.007661,1405,14805,5861
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,50,100,0.016000,0.020000,0.003000,0.001000,132716,132616,116022,16694,5938,10756,16594,35.569666,2176,21376,8155
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,50,100,0.015000,0.020000,0.003000,0.001000,191599,191499,173693,17906,6215,11691,17806,34.709036,2181,22621,8408
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,50,100,0.014000,0.020000,0.003000,0.001000,264773,264673,247067,17706,5998,11708,17606,33.875522,2308,22089,7990
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,50,100,0.013000,0.020000,0.003000,0.001000,493991,493891,471541,22450,7332,15118,22350,32.659243,2938,27612,9674
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,50,100,0.012000,0.020000,0.003000,0.001000,769440,769340,746440,23000,7277,15723,22900,31.639130,3022,27955,9441
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,50,100,0.020000,0.020000,0.003000,0.001000,30158,30058,20650,9508,3838,5670,9408,40.366008,1464,13895,5868
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,50,100,0.020000,0.020000,0.003000,0.001000,21621,21521,14860,6761,2753,4008,6661,40.718829,1109,10162,4399
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,50,100,0.020000,0.020000,0.003000,0.001000,26991,26891,18490,8501,3449,5052,8401,40.571697,1347,12531,5354
