result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_effective,frames_ml_not_effective,ml_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.030000,0.030000,0.020000,0.000500,6385,6285,4472,1913,1813,100,94.772608,3376,3376,3368
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.029500,0.030000,0.020000,0.000500,6801,6701,4970,1831,1731,100,94.538504,3283,3283,3276
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.029000,0.030000,0.020000,0.000500,9049,8949,6816,2233,2133,100,95.521720,3826,3826,3826
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.028500,0.030000,0.020000,0.000500,7003,6903,5374,1629,1529,100,93.861265,3057,3057,3042
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.028000,0.030000,0.020000,0.000500,9658,9558,7643,2015,1915,100,95.037221,3496,3496,3496
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.027500,0.030000,0.020000,0.000500,10790,10690,8790,2000,1900,100,95.000000,3437,3437,3426
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.027000,0.030000,0.020000,0.000500,11426,11326,9395,2031,1931,100,95.076317,3474,3474,3472
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.026500,0.030000,0.020000,0.000500,12693,12593,10661,2032,1932,100,95.078740,3399,3399,3398
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.026000,0.030000,0.020000,0.000500,11990,11890,10208,1782,1682,100,94.388328,3115,3115,3115
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.025500,0.030000,0.020000,0.000500,16774,16674,14568,2206,2106,100,95.466908,3665,3665,3663
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.025000,0.030000,0.020000,0.000500,15548,15448,13664,1884,1784,100,94.692144,3278,3278,3277
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.024500,0.030000,0.020000,0.000500,22645,22545,20296,2349,2249,100,95.742869,3797,3797,3796
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.024000,0.030000,0.020000,0.000500,22192,22092,20037,2155,2055,100,95.359629,3544,3544,3543
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.023500,0.030000,0.020000,0.000500,23822,23722,21784,2038,1938,100,95.093229,3392,3392,3390
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.023000,0.030000,0.020000,0.000500,27667,27567,25533,2134,2034,100,95.313964,3562,3562,3560
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.022500,0.030000,0.020000,0.000500,30890,30790,28904,1986,1886,100,94.964753,3283,3283,3282
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.022000,0.030000,0.020000,0.000500,40216,40116,37905,2311,2211,100,95.672869,3663,3663,3661
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.021500,0.030000,0.020000,0.000500,41868,41768,39781,2087,1987,100,95.208433,3397,3397,3396
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.021000,0.030000,0.020000,0.000500,50219,50119,47997,2222,2122,100,95.499550,3579,3579,3578
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.020500,0.030000,0.020000,0.000500,54811,54711,52765,2046,1946,100,95.112414,3345,3345,3341
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.020000,0.030000,0.020000,0.000500,53590,53490,51806,1784,1684,100,94.394619,3038,3038,3037
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.040000,0.040000,0.030000,0.000500,1018,918,239,779,679,100,87.163030,2276,2276,2276
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.039500,0.040000,0.030000,0.000500,1054,954,297,757,657,100,86.789960,2203,2203,2203
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.039000,0.040000,0.030000,0.000500,1356,1256,435,921,821,100,89.142237,2477,2477,2477
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.038500,0.040000,0.030000,0.000500,1331,1231,392,939,839,100,89.350373,2454,2454,2454
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.038000,0.040000,0.030000,0.000500,1662,1562,602,1060,960,100,90.566038,2575,2575,2575
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.037500,0.040000,0.030000,0.000500,1658,1558,605,1053,953,100,90.503324,2614,2614,2613
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.037000,0.040000,0.030000,0.000500,1571,1471,612,959,859,100,89.572471,2530,2530,2530
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.036500,0.040000,0.030000,0.000500,1958,1858,788,1170,1070,100,91.452991,2699,2699,2699
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.036000,0.040000,0.030000,0.000500,2052,1952,916,1136,1036,100,91.197183,2598,2598,2598
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.035500,0.040000,0.030000,0.000500,1867,1767,809,1058,958,100,90.548204,2579,2579,2579
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.035000,0.040000,0.030000,0.000500,2977,2877,1458,1519,1419,100,93.416722,3184,3184,3184
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.034500,0.040000,0.030000,0.000500,2704,2604,1330,1374,1274,100,92.721980,2999,2999,2998
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.034000,0.040000,0.030000,0.000500,2890,2790,1539,1351,1251,100,92.598075,2828,2828,2828
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.033500,0.040000,0.030000,0.000500,2986,2886,1627,1359,1259,100,92.641648,2845,2845,2845
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.033000,0.040000,0.030000,0.000500,3787,3687,2156,1631,1531,100,93.868792,3320,3320,3320
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.032500,0.040000,0.030000,0.000500,2827,2727,1693,1134,1034,100,91.181658,2517,2517,2508
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.032000,0.040000,0.030000,0.000500,4126,4026,2564,1562,1462,100,93.597951,3081,3081,3080
