alpha,frame_index_alpha,frame_index_global,used_iterations,frame_bit_errors,is_codeword,ml_invoked,ml_calls_in_frame,error_vn_indices,error_vn_last5_energies,global_max_last5_energies,global_max_vn_indices_last5,ml_proposed_vn_indices,ml_proposed_error_overlap
0.020000,591,591,0,7,0,1,10,"307;584;843;949;968;1259;1260","","","","584;1260;307;860;939;1285;52;219;848;919;1283;145;256;863;969;43","584;1260;307"
0.020000,712,712,0,5,0,1,10,"69;74;432;764;1040","","","","342;74;481;783;1040;1177;192;530;654;976;1230;19;620;718;906;1109","74;1040"
0.020000,866,866,0,6,0,1,10,"80;431;1044;1063;1074;1183","","","","431;161;624;745;890;1200;96;459;784;1060;1169;80;526;764;1051;1152;1044;1183;1046;348;415;443;768;433;1153;789","431;80;1044;1183"
0.020000,1456,1456,0,6,0,1,20,"46;229;553;858;942;1283","","","","1288;3;224;589;853;924;119;230;558;837;943;46;310;587;863;942","46;942"
0.020000,1925,1925,0,14,0,1,10,"29;39;128;255;595;640;718;835;846;917;963;968;1119;1281","","","","128;645;398;712;911;1221;306;599;718;910;1123;239;567;846;952;1243;29;1119;1260;561;825;950;293;352;630;728;916;250;925;1271;570;595;906;714;124;302;132;402;716;915;1225;48;371;747;881;1084;597;917;1227;404;19;342;620;134;1109","128;718;846;29;1119;595;917"
0.020000,1930,1930,0,11,0,1,10,"40;271;296;513;572;641;643;708;875;957;1113","","","","513;691;232;655;997;1105;175;325;201;1013;1213;67;418;805;1038;1139;36;257;568;832;957;1267;300;577;853;932;1278;359;637;735;869;1126;643;710;296;1113;708;875;118;396;126;900;909;42;365;741;1219;1132","513;957;643;296;1113;708;875"
0.020000,2032,2032,0,5,0,1,10,"252;267;604;859;1082","","","","46;310;267;1082;942;1288;587;578;842;967;1277;369;647;745;879;863;541;690;978;1086;182;156;494;820;926;1271;141;604;859;870;1234;319;612;731;869;411;252;580;725;965;1256","267;1082;604;859;252"
0.020000,2692,2692,0,4,0,1,10,"74;530;620;886","","","","158;886;621;742;887;1197;282;629;748;428;1099;269;543;822;928;1273;74;409;437;762;1038;1147;425;520;758;1045;1146;342;481;783;1040;1177;530;620;192;654;976;1230;19;718;906;1109","886;74;530;620"
0.020000,3008,3008,0,9,0,1,10,"3;36;297;568;574;853;923;929;953","","","","574;853;297;850;929;1275;42;263;838;963;1273;135;246;33;959;1250","574;853;297;929"
0.020000,3040,3040,0,6,0,1,10,"126;133;396;643;716;915","","","","126;396;643;710;909;1219;716;237;565;844;950;1295;304;908;1121;597","126;396;643;716"
0.020000,3200,3200,0,8,0,1,10,"75;91;375;426;975;1039;1140;1178","","","","141;1234;319;869;870;411;604;612;731;725;1082;252;580;859;965;1256;106;374;459;761;1072;1155;387;469;794;1070;1179;1178;498;790;1077;403","1178"
0.020000,3494,3494,0,6,0,1,10,"43;621;623;721;742;878","","","","366;43;644;742;876;1133;162;500;678;1000;1200;98;451;807;1064;1147","43;742"
0.020000,3578,3578,0,7,0,1,10,"178;235;321;516;976;1000;1084","","","","516;1000;235;658;204;1108;178;70;421;808;1041;1142;694;1016;1216;328","516;1000;235;178"
0.020000,3617,3617,0,2,0,1,10,"932;1242","","","","826;959;273;550;9;1251;951;932;562;30;1261;108;219;547;251;1277;853;224;589;924;1288;135;246;574;3;1250;36;300;577;1278","932"
0.020000,3644,3644,0,7,0,1,22,"57;183;279;392;503;699;979","","","","57;408;503;795;1028;1183;392;474;799;1075;1184;325;464;766;1077;1160","57;503;392"
