alpha,frame_index_alpha,frame_index_global,used_iterations,frame_bit_errors,is_codeword,ml_invoked,ml_calls_in_frame,error_vn_indices,error_vn_last5_energies,global_max_last5_energies,global_max_vn_indices_last5,ml_proposed_vn_indices,ml_proposed_error_overlap
0.005000,38980,38980,30,4,0,0,0,"70;477;510;1142","70:-2|-2|-2|-2|-2;477:-2|0|-2|0|-2;510:0|2|0|2|0;1142:-2|0|-2|0|-2","0|2|2|0|2","510/802|1158|154|510/802|1158","",""
0.005000,94067,94067,30,5,0,1,1,"137;551;936;942;1252","137:2|0|2|0|2;551:-2|-2|-2|-2|-2;936:0|0|0|0|0;942:2|0|2|0|2;1252:0|-4|0|-4|0","2|0|0|2|0","46/137/727/942|45/51/123/221/225/227/252/309/468/562/580/694/785|79/167/288/294/693/699/765/869/873/957/1097|46/137/727/942|3/51/123/227/252/309/443/468/482/562/580/694/785","46;137;551;727;815;936","137;551;936"
0.005000,244081,244081,30,4,0,0,0,"512;654;1096;1212","512:-2|-2|-2|-2|-2;654:-2|0|-2|0|-2;1096:0|2|0|2|0;1212:-2|0|-2|0|-2","0|2|2|0|2","192/1096|840|448|192/1096|840","",""
0.005000,296916,296916,30,4,0,0,0,"204;500;666;1224","204:-2|-2|-2|-2|-2;500:0|2|0|2|0;666:0|2|0|2|0;1224:-2|0|-2|0|-2","0|2|2|0|2","500/524/666/1000|1148/1172|18/352|500/524/666/1000|1148/1172","",""
0.005000,606964,606964,30,5,0,1,8,"231;540;570;1289;1295","231:-2|-2|-2|0|-2;540:2|0|-2|2|2;570:0|2|0|2|0;1289:-2|0|-2|0|-2;1295:2|0|0|2|2","2|2|2|0|2","540/925/1295|1218|277|237/570/925/1295|885/1188/1218","540;925;570;660;1295;13;237","540;570;1295"
0.005000,689716,689716,30,6,0,1,5,"58;292;383;896;1171;1184","58:-2|0|-4|-2|-2;292:-2|0|-2|0|-2;383:0|0|2|0|-2;896:-2|0|0|2|-2;1171:0|2|0|0|0;1184:0|2|0|-2|-2","0|2|2|2|0","383/465/475/790/1171/1184|1123|142/523/536|383/465|33/147/165/206/325/370/543/644/940/1031/1123","383;465;475;790;896;1171","383;896;1171"
0.005000,697797,697797,30,3,0,1,1,"577;966;1278","577:0|-2|0|-2|0;966:0|0|0|0|0;1278:2|0|2|0|2","2|0|0|2|0","933/1278|21/41/42/218/440/469/473|285/314/318/630/669/901/1088/1117/1121|933/1278|17/41/42/218/247/251/440","37;12;736;833;962;966","966"
0.005000,736226,736226,30,4,0,0,0,"853;959;983;1269","853:0|2|0|2|0;959:-2|-2|-2|-2|-2;983:0|2|0|2|0;1269:-2|0|-2|0|-2","0|2|2|0|2","273/853/924/983|921|205/276/335|273/853/924/983|921","",""
0.005000,868269,868269,30,5,0,1,14,"15;618;735;737;1107","15:0|2|0|2|0;618:0|-2|0|-2|0;735:2|2|2|2|2;737:-2|0|-2|0|-2;1107:0|2|0|2|0","2|2|2|2|2","616/637/735|663/1264/1285|87/459|616/637/735|663/1264/1285","616;637;735;15;618;1107","735;15;618;1107"
0.005000,957842,957842,30,5,0,0,0,"136;247;315;865;947","136:0|-2|0|-2|0;247:2|0|2|0|2;315:-2|-2|-2|-2|-2;865:-2|-2|-2|-2|-2;947:0|-2|0|-2|0","2|0|0|2|0","247/528|98/232/308/424/454/467/490/566/623/895/1176|746/956/1102/1214/1271|247/528|98/232/308/424/454/467/490/566/623/895/1176","",""
