result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_escaped,frames_ml_no_escape,frames_ml_invoked_decoded_clean,ml_escape_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.020000,0.020000,0.003000,0.001000,42550,42450,41270,1280,784,496,1180,61.250000,298,2906,1930
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.019000,0.020000,0.003000,0.001000,57560,57460,56328,1232,794,438,1132,64.448052,166,2814,1956
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.018000,0.020000,0.003000,0.001000,68804,68704,67734,1070,698,372,970,65.233645,183,2595,1784
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.017000,0.020000,0.003000,0.001000,107716,107616,106582,1134,764,370,1034,67.372134,154,2779,1979
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.016000,0.020000,0.003000,0.001000,135388,135288,134415,973,674,299,873,69.270298,237,2584,1934
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.015000,0.020000,0.003000,0.001000,247550,247450,246323,1227,847,380,1127,69.030155,261,3080,2224
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.014000,0.020000,0.003000,0.001000,341939,341839,340861,1078,759,319,978,70.408163,186,2806,2057
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.013000,0.020000,0.003000,0.001000,568837,568737,567702,1135,795,340,1035,70.044053,253,2978,2049
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.012000,0.020000,0.003000,0.001000,817000,816900,815957,1043,761,282,943,72.962608,244,2919,2135
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.011000,0.020000,0.003000,0.001000,1498936,1498836,1497788,1148,879,269,1048,76.567944,412,3214,2298
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.010000,0.020000,0.003000,0.001000,2435488,2435388,2434440,1048,830,218,948,79.198473,592,3210,2358
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.009000,0.020000,0.003000,0.001000,4647297,4647197,4646163,1134,918,216,1034,80.952381,323,3272,2506
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.008000,0.020000,0.003000,0.001000,5000000,4999933,4999318,682,560,122,615,82.111437,321,2096,1543
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.007000,0.020000,0.003000,0.001000,5000000,4999972,4999646,354,300,54,326,84.745763,91,1000,807
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.006000,0.020000,0.003000,0.001000,5000000,4999979,4999830,170,143,27,149,84.117647,81,560,379
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.005000,0.020000,0.003000,0.001000,5000000,4999996,4999943,57,50,7,53,87.719298,20,161,140
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.004000,0.020000,0.003000,0.001000,5000000,4999999,4999976,24,22,2,23,91.666667,0,36,33
