result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_escaped,frames_ml_no_escape,frames_ml_invoked_decoded_clean,ml_escape_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,30,0,0.015000,0.015000,-0.985000,1.000000,1000000,997727,858122,140736,139801,935,139605,99.335636,169696,169696,168252
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,30,100,0.020000,0.020000,-0.980000,1.000000,9997,9897,7000,2960,2950,10,2897,99.662162,4105,4105,4074
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,50000,30,0,0.015000,0.015000,-0.985000,1.000000,50000,49904,49875,70,66,4,29,94.285714,140,140,129
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,30,100,0.020000,0.020000,-0.980000,1.000000,11618,11518,11488,83,81,2,30,97.590361,183,183,172
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,30,100,0.020000,0.020000,-0.980000,1.000000,11618,11518,11488,83,81,2,30,97.590361,183,183,172
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,30,100,0.020000,0.020000,-0.980000,1.000000,11618,11518,11488,83,81,2,30,97.590361,183,183,172
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,30,100,0.020000,0.020000,-0.980000,1.000000,11618,11518,11488,83,81,2,30,97.590361,183,183,172
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000,30,0,0.020000,0.020000,-0.980000,1.000000,5000,4944,4940,39,13,26,4,33.333333,159,159,39
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,500000,30,100,0.020000,0.020000,-0.980000,1.000000,9420,9320,9320,65,0,65,0,0.000000,226,226,0
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,100,30,0,0.020000,0.020000,-0.980000,1.000000,100,100,100,0,0,0,0,0.000000,0,0,0
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,600,200,0.020000,0.020000,-0.980000,1.000000,19051,18851,18851,125,0,125,0,0.000000,7983,7983,0
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,500000,100,200,0.020000,0.020000,0.010000,0.002000,19051,18851,18851,125,0,125,0,0.000000,1413,1413,0
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,200,0.020000,0.020000,-0.980000,1.000000,19178,18978,18940,43,26,17,38,60.465116,120,120,98
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,200,0.020000,0.020000,-0.980000,1.000000,19178,18978,18940,43,26,17,38,60.465116,120,120,98
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,200,0.020000,0.020000,-0.980000,1.000000,80329,80129,77923,2406,1502,904,2206,62.427265,459,5518,3750
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,200,0.020000,0.020000,-0.980000,1.000000,80329,80129,77923,2406,1502,904,2206,62.427265,459,5518,3750
