result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_escaped,frames_ml_no_escape,frames_ml_invoked_decoded_clean,ml_escape_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.020000,0.020000,0.003000,0.001000,175822,175722,170510,5312,3331,1981,5212,62.707078,1790,11193,7383
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.019000,0.020000,0.003000,0.001000,223012,222912,218237,4775,3024,1751,4675,63.329843,1835,10520,6996
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.018000,0.020000,0.003000,0.001000,276705,276605,272383,4322,2765,1557,4222,63.975012,1456,9484,6417
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.017000,0.020000,0.003000,0.001000,570520,570420,564373,6147,4037,2110,6047,65.674313,2348,13708,9240
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.016000,0.020000,0.003000,0.001000,660600,660500,655722,4878,3292,1586,4778,67.486675,1877,10774,7390
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.015000,0.020000,0.003000,0.001000,788115,788015,784229,3886,2663,1223,3786,68.528049,1501,9041,6269
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.014000,0.020000,0.003000,0.001000,1576886,1576786,1571901,4985,3519,1466,4885,70.591775,1959,11451,8062
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.013000,0.020000,0.003000,0.001000,2812524,2812424,2806922,5602,4047,1555,5502,72.242056,2235,12889,9138
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.012000,0.020000,0.003000,0.001000,3535716,3535616,3531132,4584,3409,1175,4484,74.367365,2031,11176,8052
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.011000,0.020000,0.003000,0.001000,5000000,4999922,4996137,3863,2949,914,3785,76.339632,1540,9251,6774
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.010000,0.020000,0.003000,0.001000,5000000,4999956,4997699,2301,1805,496,2257,78.444155,907,5592,4147
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.009000,0.020000,0.003000,0.001000,5000000,4999984,4998801,1199,942,257,1183,78.565471,448,2838,2087
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.008000,0.020000,0.003000,0.001000,5000000,4999992,4999323,677,542,135,669,80.059084,222,1549,1157
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.007000,0.020000,0.003000,0.001000,5000000,4999992,4999654,346,297,49,338,85.838150,158,892,675
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.006000,0.020000,0.003000,0.001000,5000000,4999998,4999841,159,136,23,157,85.534591,69,400,293
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.005000,0.020000,0.003000,0.001000,5000000,4999999,4999941,59,52,7,58,88.135593,26,136,107
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/simulation.res,5000000,100,100,0.004000,0.020000,0.003000,0.001000,5000000,4999998,4999965,35,31,4,33,88.571429,24,110,81
