result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_effective,frames_ml_not_effective,ml_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.007000,0.007000,0.003000,0.000100,43691,43591,43301,390,290,100,74.358974,1904,1904,1899
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.006900,0.007000,0.003000,0.000100,62055,61955,61606,449,349,100,77.728285,2048,2048,2029
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.006800,0.007000,0.003000,0.000100,64164,64064,63664,500,400,100,80.000000,1887,1887,1881
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.006700,0.007000,0.003000,0.000100,77908,77808,77401,507,407,100,80.276134,2160,2160,2156
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.006600,0.007000,0.003000,0.000100,73183,73083,72689,494,394,100,79.757085,1977,1977,1971
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.006500,0.007000,0.003000,0.000100,79210,79110,78716,494,394,100,79.757085,2009,2009,1994
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.006400,0.007000,0.003000,0.000100,81654,81554,81176,478,378,100,79.079498,2005,2005,1983
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.006300,0.007000,0.003000,0.000100,86231,86131,85716,515,415,100,80.582524,2121,2121,2117
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.006200,0.007000,0.003000,0.000100,80825,80725,80356,469,369,100,78.678038,1915,1915,1899
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.006100,0.007000,0.003000,0.000100,99251,99151,98717,534,434,100,81.273408,2130,2130,2122
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.006000,0.007000,0.003000,0.000100,110462,110362,109934,528,428,100,81.060606,2027,2027,2016
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.005900,0.007000,0.003000,0.000100,107966,107866,107430,536,436,100,81.343284,2094,2094,2074
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.005800,0.007000,0.003000,0.000100,100063,99963,99614,449,349,100,77.728285,1907,1907,1902
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.005700,0.007000,0.003000,0.000100,117714,117614,117227,487,387,100,79.466119,1987,1987,1985
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.005600,0.007000,0.003000,0.000100,104116,104016,103671,445,345,100,77.528090,2041,2041,2036
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.005500,0.007000,0.003000,0.000100,121109,121009,120623,486,386,100,79.423868,2023,2023,2021
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.005400,0.007000,0.003000,0.000100,142432,142332,141942,490,390,100,79.591837,1915,1915,1910
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.005300,0.007000,0.003000,0.000100,132250,132150,131798,452,352,100,77.876106,1874,1874,1865
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.005200,0.007000,0.003000,0.000100,150035,149935,149542,493,393,100,79.716024,2015,2015,2010
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.005100,0.007000,0.003000,0.000100,173128,173028,172600,528,428,100,81.060606,1914,1914,1913
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.005000,0.007000,0.003000,0.000100,209637,209537,209063,574,474,100,82.578397,2160,2160,2147
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.004900,0.007000,0.003000,0.000100,160157,160057,159713,444,344,100,77.477477,1962,1962,1959
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.004800,0.007000,0.003000,0.000100,227093,226993,226485,608,508,100,83.552632,2198,2198,2195
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.004700,0.007000,0.003000,0.000100,208067,207967,207561,506,406,100,80.237154,2074,2074,2069
