result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_escaped,frames_ml_no_escape,frames_ml_invoked_decoded_clean,ml_escape_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,1000000,100,100,0.070000,0.070000,0.005000,0.005000,103,3,1,55,50,5,2,90.909091,106,106,83
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,1000000,100,100,0.065000,0.070000,0.005000,0.005000,105,5,2,47,38,9,3,80.851064,90,90,65
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,1000000,100,100,0.060000,0.070000,0.005000,0.005000,111,11,8,38,27,11,3,71.052632,81,81,43
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,1000000,100,100,0.055000,0.070000,0.005000,0.005000,123,23,18,31,18,13,5,58.064516,40,40,21
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,1000000,100,100,0.050000,0.070000,0.005000,0.005000,160,60,50,26,17,9,10,65.384615,27,27,17
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,1000000,100,100,0.045000,0.070000,0.005000,0.005000,207,107,101,25,15,10,6,60.000000,42,42,30
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,1000000,100,100,0.040000,0.070000,0.005000,0.005000,331,231,222,23,16,7,9,69.565217,68,68,50
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,1000000,100,100,0.035000,0.070000,0.005000,0.005000,581,481,461,31,19,12,20,61.290323,69,69,46
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,1000000,100,100,0.030000,0.070000,0.005000,0.005000,1132,1032,1027,6,3,3,5,50.000000,6,6,3
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,1000000,100,100,0.025000,0.070000,0.005000,0.005000,2463,2363,2344,20,10,10,19,50.000000,42,42,26
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,1000000,100,100,0.020000,0.070000,0.005000,0.005000,9783,9683,9663,21,12,9,20,57.142857,40,40,30
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,1000000,100,100,0.015000,0.070000,0.005000,0.005000,47472,47372,47364,12,8,4,8,66.666667,67,67,61
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,1000000,100,100,0.010000,0.070000,0.005000,0.005000,368776,368676,368668,11,8,3,8,72.727273,29,29,24
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.070000,0.070000,0.005000,0.001000,103,3,1,55,50,5,2,90.909091,106,106,83
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.069000,0.070000,0.005000,0.001000,101,1,0,45,39,6,1,86.666667,89,89,65
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.068000,0.070000,0.005000,0.001000,103,3,2,57,52,5,1,91.228070,115,115,73
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.067000,0.070000,0.005000,0.001000,100,0,0,63,50,13,0,79.365079,103,103,69
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.066000,0.070000,0.005000,0.001000,103,3,2,48,37,11,1,77.083333,83,83,54
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.065000,0.070000,0.005000,0.001000,107,7,2,56,43,13,5,76.785714,102,102,76
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.064000,0.070000,0.005000,0.001000,106,6,5,51,42,9,1,82.352941,91,91,68
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.063000,0.070000,0.005000,0.001000,105,5,3,44,37,7,2,84.090909,87,87,55
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.062000,0.070000,0.005000,0.001000,101,1,1,46,34,12,0,73.913043,154,154,60
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.061000,0.070000,0.005000,0.001000,114,14,10,48,36,12,4,75.000000,80,80,59
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.060000,0.070000,0.005000,0.001000,107,7,6,42,33,9,1,78.571429,60,60,42
