result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_escaped,frames_ml_no_escape,frames_ml_invoked_decoded_clean,ml_escape_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,100,100,0.040000,0.040000,0.025000,0.005000,1628,1528,1135,493,493,0,393,100.000000,269,8397,6085
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,100,100,0.035000,0.040000,0.025000,0.005000,4485,4385,3678,807,807,0,707,100.000000,274,10626,7658
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,100,100,0.030000,0.040000,0.025000,0.005000,13600,13500,12382,1218,1218,0,1118,100.000000,337,12479,9024
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,100,100,0.040000,0.040000,0.030000,0.005000,1628,1528,1135,493,493,0,393,100.000000,269,8397,6085
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,100,100,0.035000,0.040000,0.030000,0.005000,4485,4385,3678,807,807,0,707,100.000000,274,10626,7658
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,100,100,0.030000,0.040000,0.030000,0.005000,13600,13500,12382,1218,1218,0,1118,100.000000,337,12479,9024
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,100,100,0.040000,0.040000,0.005000,0.005000,1628,1528,1135,493,493,0,393,100.000000,269,8397,6085
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,100,100,0.035000,0.040000,0.005000,0.005000,4485,4385,3678,807,807,0,707,100.000000,274,10626,7658
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,100,100,0.030000,0.040000,0.005000,0.005000,13600,13500,12382,1218,1218,0,1118,100.000000,337,12479,9024
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,100,100,0.025000,0.040000,0.005000,0.005000,54357,54257,52442,1915,1915,0,1815,100.000000,297,15356,10993
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,100,100,0.020000,0.040000,0.005000,0.005000,215446,215346,213045,2401,2401,0,2301,100.000000,244,15174,11028
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,100,100,0.015000,0.040000,0.005000,0.005000,1000000,999933,997591,2409,2409,0,2342,100.000000,98,11413,8156
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,100,100,0.010000,0.040000,0.005000,0.005000,1000000,999994,999715,285,285,0,279,100.000000,13,1086,788
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,1000000,100,100,0.005000,0.040000,0.005000,0.005000,1000000,1000000,999986,14,14,0,14,100.000000,0,31,23
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,5000000,100,100,0.005000,0.005000,-0.995000,1.000000,5000000,5000000,4999946,54,54,0,54,100.000000,1,142,108
