result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_effective,frames_ml_not_effective,ml_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/Res_ml_multi.res,10000000,100,100,0.010000,0.010000,0.003000,0.001000,21864,21764,21366,498,398,100,79.919679,1679,1679,1674
results/Res_ml_multi.res,10000000,100,100,0.009000,0.010000,0.003000,0.001000,25072,24972,24652,420,320,100,76.190476,1614,1614,1593
results/Res_ml_multi.res,10000000,100,100,0.008000,0.010000,0.003000,0.001000,48118,48018,47572,546,446,100,81.684982,1733,1733,1731
results/Res_ml_multi.res,10000000,100,100,0.007000,0.010000,0.003000,0.001000,46788,46688,46401,387,287,100,74.160207,1566,1566,1562
results/Res_ml_multi.res,10000000,100,100,0.006000,0.010000,0.003000,0.001000,110082,109982,109558,524,424,100,80.916031,1731,1731,1721
results/Res_ml_multi.res,10000000,100,100,0.005000,0.010000,0.003000,0.001000,203824,203724,203245,579,479,100,82.728843,1736,1736,1734
results/Res_ml_multi.res,10000000,100,100,0.004000,0.010000,0.003000,0.001000,356753,356653,356197,556,456,100,82.014388,1741,1741,1738
results/Res_ml_multi.res,10000000,100,200,0.010000,0.010000,0.003000,0.001000,41329,41129,40382,947,747,200,78.880676,3356,3356,3330
results/Res_ml_multi.res,10000000,100,200,0.009000,0.010000,0.003000,0.001000,59683,59483,58711,972,772,200,79.423868,3338,3338,3336
results/Res_ml_multi.res,10000000,100,200,0.008000,0.010000,0.003000,0.001000,73133,72933,72265,868,668,200,76.958525,3203,3203,3199
results/Res_ml_multi.res,10000000,100,200,0.007000,0.010000,0.003000,0.001000,147691,147491,146576,1115,915,200,82.062780,3514,3514,3504
results/Res_ml_multi.res,10000000,100,200,0.006000,0.010000,0.003000,0.001000,208828,208628,207801,1027,827,200,80.525803,3357,3357,3341
results/Res_ml_multi.res,10000000,100,200,0.005000,0.010000,0.003000,0.001000,383549,383349,382415,1134,934,200,82.363316,3475,3475,3469
results/Res_ml_multi.res,10000000,100,200,0.004000,0.010000,0.003000,0.001000,755163,754963,754031,1132,932,200,82.332155,3457,3457,3445
results/Res_ml_multi.res,10000000,100,200,0.010000,0.010000,0.003000,0.001000,41329,41129,40382,947,747,200,78.880676,3356,3356,3330
results/Res_ml_multi.res,10000000,100,200,0.009000,0.010000,0.003000,0.001000,59683,59483,58711,972,772,200,79.423868,3338,3338,3336
results/Res_ml_multi.res,10000000,100,200,0.008000,0.010000,0.003000,0.001000,73133,72933,72265,868,668,200,76.958525,3203,3203,3199
results/Res_ml_multi.res,10000000,100,200,0.007000,0.010000,0.003000,0.001000,147691,147491,146576,1115,915,200,82.062780,3514,3514,3504
results/Res_ml_multi.res,10000000,100,200,0.006000,0.010000,0.003000,0.001000,208828,208628,207801,1027,827,200,80.525803,3357,3357,3341
results/Res_ml_multi.res,10000000,100,200,0.005000,0.010000,0.003000,0.001000,383549,383349,382415,1134,934,200,82.363316,3475,3475,3469
results/Res_ml_multi.res,10000000,100,200,0.004000,0.010000,0.003000,0.001000,755163,754963,754031,1132,932,200,82.332155,3457,3457,3445
